Organism_Name,Genome.composition
Bondarzewia berkeleyi negative-strand RNA virus 1,ssRNA(-)
Cucurbit cytorhabdovirus 1,ssRNA(-)
Cryphonectria parasitica sclerotimonavirus 1,ssRNA(-)
Lettuce star mosaic virus,ssRNA(+)
Yaravirus brasiliensis,DNA
Giardia-associated CRESS DNA virus 4,ssDNA
Giardia-associated CRESS DNA virus 2,ssDNA
Giardia-associated CRESS DNA virus 2,ssDNA
Giardia-associated CRESS DNA virus 1,ssDNA
Entamoeba-associated CRESS DNA virus 4,ssDNA
Entamoeba-associated CRESS DNA virus 3,ssDNA
Entamoeba-associated CRESS DNA virus 2,ssDNA
Entamoeba-associated CRESS DNA virus 1,ssDNA
Entamoeba-associated CRESS DNA virus 1,ssDNA
Chestnut mosaic virus,dsDNA-RT
Grapevine virus L,ssRNA(+)
