Organism_Name,Genome.composition
Sibine fusca densovirus,ssDNA(+/-)
Staphylococcus virus IPLA5,dsDNA
Papilio polyxenes densovirus,ssDNA(+/-)
Salmonella phage vB_SemP_Emek,dsDNA
Weissella phage phiYS61,dsDNA
Potato virus H,ssRNA(+)
Gooseberry vein banding associated virus,dsDNA-RT
Phocoena phocoena papillomavirus 4,dsDNA
Clostridium phage phiCPV4,dsDNA
French bean leaf curl virus,ssDNA(+/-)
Botrytis porri botybirnavirus 1,dsRNA
Human papillomavirus 136,dsDNA
Persimmon cryptic virus,dsRNA
Escherichia phage vB_EcoM_ACG-C40,dsDNA
Caulobacter phage CcrColossus,dsDNA
Caulobacter virus Swift,dsDNA
Cronobacter phage vB_CsaP_GAP52,dsDNA
Streptomyces phage R4,dsDNA
Diuris virus A,ssRNA(+)
Astrovirus MLB3,ssRNA(+)
Bacillus phage Bastille,dsDNA
Rousettus bat coronavirus HKU10,ssRNA(+)
Propionibacterium phage P1.1,dsDNA
human papillomavirus 166,dsDNA
Escherichia phage NJ01,dsDNA
Campylobacter phage CP30A,dsDNA
Propionibacterium phage P105,dsDNA
Propionibacterium phage P9.1,dsDNA
Salmonella phage SSU5,dsDNA
Pectobacterium phage My1,dsDNA
Pestivirus strain Aydin/04-TR,ssRNA(+)
Ikoma lyssavirus,ssRNA(-)
Sauropus leaf curl disease associated DNA beta,ssDNA
Sporobolus striate mosaic virus 2,ssDNA(+/-)
Paspalum striate mosaic virus,ssDNA(+/-)
Tomato leaf curl Hajipur betasatellite,ssDNA
Mesta yellow vein mosaic alphasatellite,ssDNA
Sathuperi orthobunyavirus,ssRNA(-)
Soybean Putnam virus,dsDNA-RT
Grapevine virus F,ssRNA(+)
Arabis mosaic virus small satellite RNA barley/CHE/1991,RNA
Gyrovirus 4,ssDNA(-)
Burkholderia phage DC1,dsDNA
Pseudomonas phage MP1412,dsDNA
Marinomonas phage P12026,dsDNA
Nonlabens phage P12024S,dsDNA
Burkholderia phage vB_BceS_AH2,dsDNA
Citrus chlorotic dwarf associated virus,ssDNA(+/-)
Pasivirus A1,ssRNA(+)
Sweet potato virus G,ssRNA(+)
Bacillus phage BtCS33,dsDNA
Enterococcus phage BC611,dsDNA
Phocoena phocoena papillomavirus 1,dsDNA
Human papillomavirus 140,dsDNA
Propionibacterium phage ATCC29399B_T,dsDNA
Propionibacterium phage P100D,dsDNA
Propionibacterium phage P14,dsDNA
Streptomyces phage phiHau3,dsDNA
Listeria phage P70,dsDNA
Bacillus phage BCP78,dsDNA
Apple green crinkle associated virus,ssRNA(+)
Culex originated Tymoviridae-like virus,ssRNA(+)
Cassava mosaic Madagascar alphasatellite,ssDNA
Eilat virus,ssRNA(+)
Bhendi yellow vein mosaic virus-associated alphasatellite,ssDNA
CAS virus,ssRNA(+/-)
Paspalum dilatatum striate mosaic virus,ssDNA(+/-)
Aino virus,ssRNA(-)
Bluegill picornavirus,ssRNA(+)
Sweet potato C6 virus,ssRNA(+)
Cronobacter phage phiES15,dsDNA
Amazon lily mild mottle virus,ssRNA(+)
Orthohepevirus D,ssRNA(+)
Nonlabens phage P12024L,dsDNA
Celeribacter phage P12053L,dsDNA
Pseudomonas phage MP42,dsDNA
Staphylococcus phage SpaA1,dsDNA
Cucurbit chlorotic yellows virus,ssRNA(+)
MW polyomavirus,dsDNA
Colwellia phage 9A,dsDNA
Phocoena phocoena papillomavirus 2,dsDNA
Human papillomavirus 135,dsDNA
Human papillomavirus type 144,dsDNA
Equus caballus polyomavirus 1,dsDNA
Grapevine deformation virus,ssRNA(+)
Bacillus phage PBC1,dsDNA
Pseudomonas phage tf,dsDNA
Cyrtanthus elatus virus A,ssRNA(+)
Mycobacterium phage SWU1,dsDNA
Pseudomonas phage vB_Pae-TbilisiM32,dsDNA
American hop latent virus,ssRNA(+)
Tomato necrotic stunt virus,ssRNA(+)
Cronobacter phage vB_CsaM_GAP32,dsDNA
Blechum interveinal chlorosis virus,ssDNA(+/-)
Astrovirus VA4,ssRNA(+)
Tobacco leaf chlorosis betasatellite,ssDNA
Iranian johnsongrass mosaic virus,ssRNA(+)
Horseradish latent virus,dsDNA-RT
Pokeweed mosaic virus,ssRNA(+)
Providencia phage Redjac,dsDNA
Propionibacterium phage P100_1,dsDNA
Propionibacterium phage P104A,dsDNA
Escherichia phage ECBP2,dsDNA
Streptomyces virus TG1,dsDNA
Bacillus phage B4,dsDNA
Datura leaf distortion virus,ssDNA(+/-)
Ntaya virus,ssRNA(+)
Bovine hungarovirus 1,ssRNA(+)
Rhizosolenia setigera RNA virus 01,ssRNA(+)
Caladenia virus A,ssRNA(+)
Simbu orthobunyavirus,ssRNA(-)
Sporobolus striate mosaic virus 1,ssDNA(+/-)
Blueberry virus A,ssRNA(+)
Soybean chlorotic spot virus,ssDNA(+/-)
Chinese yam necrotic mosaic virus,ssRNA(+)
Papaya lethal yellowing virus,ssRNA(+)
Grapevine Anatolian ringspot virus,ssRNA(+)
gallivirus A1,ssRNA(+)
Staphylococcus virus IPLA7,dsDNA
Croceibacter phage P2559S,dsDNA
Burkholderia phage vB_BceS_KL1,dsDNA
Leuconostoc phage Lmd1,dsDNA
SFTS virus HB29,ssRNA(+/-)
Arracacha mottle virus,ssRNA(+)
Clostridium phage phiZP2,dsDNA
French bean leaf curl betasatellite-Kanpur,ssDNA
Cotton leaf curl Multan alphasatellite,ssDNA
Bean necrotic mosaic virus,ssRNA(+/-)
Human papillomavirus type 137,dsDNA
Sida yellow mosaic China virus - [Hainan 8],ssDNA(+/-)
Halocynthia phage JM-2012,dsDNA
Clostridium phage phiCP7R,dsDNA
Pseudomonas phage Lu11,dsDNA
Goose adenovirus 4,dsDNA
Salisaeta icosahedral phage 1,dsDNA
Pseudomonas phage vB_Pae-Kakheti25,dsDNA
European catfish virus,dsDNA
Sclerotinia sclerotiorum dsRNA mycovirus-L,dsRNA
Equus caballus papillomavirus 3,dsDNA
Chimpanzee adenovirus Y25,dsDNA
Cotton leaf curl virus betasatellite,ssDNA
Spissistilus festinus reovirus,dsRNA
Gyrovirus GyV3,ssDNA(-)
Papio hamadryas papillomavirus 1,dsDNA
Halorubrum pleomorphic virus 2,dsDNA; ssDNA
Macroptilium yellow vein virus,ssDNA(+/-)
Rabbit coronavirus HKU14,ssRNA(+)
Common moorhen coronavirus HKU21,ssRNA(+)
White-eye coronavirus HKU16,ssRNA(+)
Whataroa virus,ssRNA(+)
Tomato leaf curl Ranchi virus,ssDNA(+/-)
Pseudomonas phage phi297,dsDNA
Thermococcus prieurii virus 1,dsDNA
Synechococcus phage S-CBS4,dsDNA
Cyanophage 9515-10a,dsDNA
Eidolon helvum (bat) parvovirus,ssDNA(+/-)
Rhodococcus phage RER2,dsDNA
Hollyhock yellow vein mosaic virus,ssDNA(+/-)
Bacillus phage W.Ph.,dsDNA
Vibrio phage SIO-2,dsDNA
Aotine betaherpesvirus 1,dsDNA
West African Asystasia virus 1,ssDNA(+/-)
Clitoria yellow mottle virus,ssRNA(+)
Pseudomonas phage OBP,dsDNA
Garlic common latent virus,ssRNA(+)
Gordonia phage GRU1,dsDNA
Rhodobacter phage RcapMu,dsDNA
Pediococcus phage cIP1,dsDNA
Human papillomavirus 126,dsDNA
Actinidia virus B,ssRNA(+)
Lloviu cuevavirus,ssRNA(-)
Canis familiaris papillomavirus 10,dsDNA
Sida yellow mottle virus,ssDNA(+/-)
Sweet potato virus 2,ssRNA(+)
Xanthomonas phage vB_XveM_DIBBI,dsDNA
Salmonella phage SPN9CC,dsDNA
Chilli ringspot virus,ssRNA(+)
Nariva virus,ssRNA(-)
Clostridium phage PhiS63,dsDNA
Staphylococcus phage TEM123,dsDNA
Tomato yellow leaf distortion virus,ssDNA(+/-)
Artemisia virus A,ssRNA(+)
Obodhiang virus,ssRNA(-)
Feline bocavirus,ssDNA(+/-)
Halorubrum pleomorphic virus 6,dsDNA; ssDNA
Centrosema yellow spot virus,ssDNA(+/-)
Canary polyomavirus,dsDNA
Clitocybe odora virus,ssRNA(+)
Night heron coronavirus HKU19,ssRNA(+)
Haloarcula hispanica icosahedral virus 2,dsDNA
Pseudomonas phage Bf7,dsDNA
New World begomovirus associated satellite DNA isolate 177H3,DNA
Ndumu virus,ssRNA(+)
Porcine kobuvirus SH-W-CHN/2010/China,ssRNA(+)
Astrovirus wild boar/WBAstV-1/2011/HUN,ssRNA(+)
Rosellinia necatrix quadrivirus 1,dsRNA
Cyanophage NATL2A-133,dsDNA
Sida mosaic Alagoas virus,ssDNA(+/-)
Nocardia phage NBR1,dsDNA
Porcine bocavirus 5/JS677,ssDNA(+/-)
Rhodococcus phage REQ1,dsDNA
Rhodococcus phage RRH1,dsDNA
Rattail cactus necrosis-associated virus,ssRNA(+)
Parrot hepatitis B virus,dsDNA-RT
Staphylococcus phage S24-1,dsDNA
Grapevine leafroll-associated virus 6,ssRNA(+)
Grapevine leafroll-associated virus 1,ssRNA(+)
Grapevine leafroll-associated virus 7,ssRNA(+)
Quail picornavirus QPV1/HUN/2010,ssRNA(+)
Yersinia phage phiR1-37,dsDNA
Keunjorong mosaic virus,ssRNA(+)
Astrovirus MLB2,ssRNA(+)
Potato yellow dwarf nucleorhabdovirus,ssRNA(-)
Fig badnavirus 1,dsDNA-RT
Kotonkan virus,ssRNA(-)
Cassava mosaic Madagascar virus,ssDNA(+/-)
Chaoyang virus,ssRNA(+)
Halogeometricum pleomorphic virus 1,dsDNA
Macroptilium yellow spot virus,ssDNA(+/-)
Wigeon coronavirus HKU20,ssRNA(+)
Canine picornavirus,ssRNA(+)
Southern elephant seal virus,ssRNA(+)
Trichechus manatus latirostris papillomavirus 2,dsDNA
Bacteroides phage B124-14,dsDNA
Pseudomonas virus PMG1,dsDNA
Eclipta yellow vein virus,ssDNA(+/-)
Salmonella phage SPN1S,dsDNA
Persea americana alphaendornavirus 1,dsRNA
Cyanophage P-SSP2,dsDNA
Rhodococcus phage REQ2,dsDNA
Abutilon mosaic Brazil virus,ssDNA(+/-)
Escherichia virus CBA120,dsDNA
Campylobacter virus CPX,dsDNA
Shigella phage EP23,dsDNA
Espirito Santo virus,dsRNA
Chocolate lily virus A,ssRNA(+)
Skua adenovirus 1,dsDNA
Halastavi arva RNA virus,ssRNA(+)
Spodoptera exigua iflavirus 1,ssRNA(+)
Synechococcus phage S-CBS1,dsDNA
Escherichia phage HK75,dsDNA
Hibiscus green spot virus 2,ssRNA(+)
Grapevine leafroll-associated virus 5,ssRNA(+)
Feline picornavirus,ssRNA(+)
Canis familiaris papillomavirus 9,dsDNA
Sclerotinia sclerotiorum hypovirus 1,ssRNA(+)
Canis familiaris papillomavirus 8,dsDNA
Mouse astrovirus M-52/USA/2008,ssRNA(+)
Tembusu virus,ssRNA(+)
Cronobacter phage CR3,dsDNA
Hippeastrum mosaic virus,ssRNA(+)
Escherichia phage vB_EcoS_AKFV33,dsDNA
Acinetobacter phage AP22,dsDNA
Bat sapovirus TLC58/HK,ssRNA(+)
Maize streak Reunion virus,ssDNA(+/-)
Equid alphaherpesvirus 8,dsDNA
Pig stool associated circular ssDNA virus GER2011,ssDNA
Wheat dwarf India virus,ssDNA(+/-)
Valsa ceratosperma hypovirus 1,ssRNA(+)
Halorubrum pleomorphic virus 3,dsDNA
Tianjin totivirus,dsRNA
Macroptilium yellow net virus,ssDNA(+/-)
Donggang virus,ssRNA(+)
Magpie-robin coronavirus HKU18,ssRNA(+)
Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004],ssDNA(+/-)
Bebaru virus,ssRNA(+)
Cotia virus SPAn232,dsDNA
Erwinia phage PEp14,dsDNA
Salmonella phage SE2,dsDNA
Artibeus jamaicensis parvovirus 1,ssDNA(+/-)
Cyanophage NATL1A-7,dsDNA
Cleome leaf crumple virus,ssDNA(+/-)
Tomato dwarf leaf virus,ssDNA(+/-)
Rhodococcus virus RGL3,dsDNA
Rhodococcus phage REQ3,dsDNA
Sweet potato leaf curl deltasatellite 1,ssDNA
Planktothrix phage PaV-LD,dsDNA
Saimiriine betaherpesvirus 4,dsDNA
Yambean mosaic virus,ssRNA(+)
Gordonia phage GTE5,dsDNA
Grapevine leafroll-associated virus 4,ssRNA(+)
Gordonia phage GTE7,dsDNA
Vibrio phage VCY-phi,ssDNA(+)
Luna mammarenavirus,ssRNA(+/-)
Escherichia phage HK639,dsDNA
Blueberry necrotic ring blotch virus,ssRNA(+)
Megavirus chiliensis,dsDNA
Salmonella phage PVPSE1,dsDNA
Porcine bocavirus 3,ssDNA(+/-)
Carrot mottle virus,ssRNA(+)
Bat adenovirus 2,dsDNA
Bat picornavirus 1,ssRNA(+)
Mouse kobuvirus M-5/USA/2010,ssRNA(+)
Nam Dinh virus,ssRNA(+)
Eragrostis minor streak virus,ssDNA(+/-)
Torque teno virus,ssDNA(-)
Blackberry virus E,ssRNA(+)
Helicoverpa armigera densovirus,ssDNA(+/-)
Sweet potato pakakuy virus,dsDNA-RT
Tuber aestivum mitovirus,ssRNA(+)
Pantoea phage LIMEzero,dsDNA
Switchgrass mosaic virus,ssRNA(+)
Fig cryptic virus,dsRNA
Banana streak UM virus,dsDNA-RT
Bean yellow mosaic Mexico virus,ssDNA(+/-)
Campylobacter virus NCTC12673,dsDNA
Raptor adenovirus 1,dsDNA
Cherry leaf roll virus,ssRNA(+)
Cleome golden mosaic virus,ssDNA(+/-)
Celery mosaic virus,ssRNA(+)
Lausannevirus,dsDNA
Sweet potato leaf curl South Carolina virus,ssDNA(+/-)
Erwinia phage phiEt88,dsDNA
Prochlorococcus phage P-SSM7,dsDNA
Synechococcus phage Syn19,dsDNA
Synechococcus phage S-SM1,dsDNA
Enterococcus phage EFRM31,dsDNA
Streptococcus phage Dp-1,dsDNA
Burkholderia phage KL3,dsDNA
Aeromonas virus 65,dsDNA
Clostridium phage phiCD6356,dsDNA
Grapevine berry inner necrosis virus,ssRNA(+)
Fig fleck-associated virus,ssRNA(+)
Vibrio phage CTXphi,ssDNA(+)
Burkholderia phage phi644-2,dsDNA
Vibrio phage ICP1,dsDNA
Spinach curly top Arizona virus,ssDNA(+/-)
Sida mosaic Bolivia virus 1,ssDNA(+/-)
Sweet potato leaf curl Uganda virus-[Uganda:Kampala:2008],ssDNA(+/-)
Mirabilis jalapa mottle virus,ssRNA(+)
Soybean yellow common mosaic virus,ssRNA(+)
Salmonella phage SFP10,dsDNA
Morelia spilota papillomavirus 1,dsDNA
Yokapox virus,dsDNA
Bat picornavirus 3,ssRNA(+)
Salmonella phage 7-11,dsDNA
Vernonia yellow vein Fujian betasatellite,ssDNA
Microviridae phi-CA82,ssDNA(+)
Gordonia phage GTE2,dsDNA
Macaca fascicularis papillomavirus 2,dsDNA
Verbesina encelioides leaf curl alphasatellite,ssDNA
Pigeon picornavirus B,ssRNA(+)
Synechococcus phage S-CRM01,dsDNA
Bombyx mori Macula-like virus,ssRNA(+)
Banana streak IM virus,dsDNA-RT
Merremia mosaic Puerto Rico virus,ssDNA(+/-)
Banana streak UI virus,dsDNA-RT
Roseobacter phage RDJL Phi 1,dsDNA
Propionibacterium phage PAS50,dsDNA
Shigella phage Shfl2,dsDNA
Barbel circovirus,ssDNA(+/-)
Sweet potato collusive virus,dsDNA-RT
Hardenbergia virus A,ssRNA(+)
Sweet potato golden vein associated virus,ssDNA(+/-)
Ralstonia phage PE226,ssDNA(+)
Prochlorococcus phage Syn1,dsDNA
Pseudoalteromonas phage H105/1,dsDNA
Prochlorococcus phage P-HM2,dsDNA
Prochlorococcus phage P-HM1,dsDNA
Camelus dromedarius papillomavirus 2,dsDNA
Pseudomonas phage KPP10,dsDNA
Pseudomonas phage phiIBB-PF7A,dsDNA
Brochothrix phage A9,dsDNA
Trailing lespedeza virus 1,ssRNA(+)
Escherichia phage 285P,dsDNA
Chaetoceros protobacilladnavirus 3,ssDNA
Vibrio phage ICP3,dsDNA
Yersinia phage Yepe2,dsDNA
Tomato leaf curl Hanoi virus,ssDNA(+/-)
Mosquito densovirus BR/07,ssDNA(+/-)
Cricetid gammaherpesvirus 2,dsDNA
Colobus guereza papillomavirus 2,dsDNA
Bdellovibrio phage phi1402,dsDNA
Piscine myocarditis virus AL V-708,dsRNA
Tobacco yellow crinkle virus,ssDNA(+/-)
Passion fruit mosaic virus,ssRNA(+)
Mycobacterium virus Faith1,dsDNA
Cutthroat trout virus,ssRNA(+)
Grapevine Bulgarian latent virus,ssRNA(+)
Groundnut ringspot and Tomato chlorotic spot virus reassortant,ssRNA(+/-)
Banana streak UL virus,dsDNA-RT
Synechococcus phage S-CBS2,dsDNA
Propionibacterium phage PAD20,dsDNA
Sandfly fever Turkey virus,ssRNA(+/-)
Avian gyrovirus 2,ssDNA(-)
Chandiru virus,ssRNA(+/-)
Zalophus californianus papillomavirus 1,dsDNA
Pseudomonas phage PAK_P1,dsDNA
Synechococcus phage S-SSM5,dsDNA
Prochlorococcus phage Syn33,dsDNA
Synechococcus phage S-ShM2,dsDNA
Burkholderia phage KS14,dsDNA
Burkholderia phage KS5,dsDNA
Salmonella virus SPC35,dsDNA
Avian orthoreovirus,dsRNA
Acinetobacter virus 133,dsDNA
Brochothrix phage BL3,dsDNA
Sweet potato vein clearing virus,dsDNA-RT
Seal anellovirus TFFN/USA/2006,ssDNA(-)
Pseudomonas phage phi15,dsDNA
Human polyomavirus 9,dsDNA
Avian leukemia virus,ssRNA-RT
Sida mosaic Bolivia virus 2,ssDNA(+/-)
Pepper vein yellows virus,ssRNA(+)
Honeysuckle ringspot virus,ssRNA(+)
Cyclovirus PKgoat11/PAK/2009,ssDNA(+/-)
Human papillomavirus type 129,dsDNA
Apium virus Y,ssRNA(+)
Salmonella phage ST160,dsDNA
Bat picornavirus 2,ssRNA(+)
Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006],ssDNA
Porcine bocavirus 4-1,ssDNA(+/-)
Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006],ssDNA
Escherichia phage vB_EcoP_G7C,dsDNA
Baboon orthoreovirus,dsRNA
Tamus red mosaic virus,ssRNA(+)
Thermus phage TMA,dsDNA
Grapevine vein clearing virus,dsDNA-RT
Wiseana iridescent virus,dsDNA
Escherichia phage K30,dsDNA
Cavally virus,ssRNA(+)
Stenotrophomonas phage phiSHP2,ssDNA(+)
Clostridium phage phiCD38-2,dsDNA
Rhynchosia mild mosaic virus,ssDNA(+/-)
Asclepias asymptomatic virus,ssRNA(+)
Banana streak CA virus,dsDNA-RT
Banana streak UA virus,dsDNA-RT
Aguacate virus,ssRNA(+/-)
Shigella virus Shfl1,dsDNA
Synechococcus phage S-CBS3,dsDNA
Hardenbergia mosaic virus,ssRNA(+)
Fowl aviadenovirus C,dsDNA
Clostera anachoreta granulovirus,dsDNA
Cotton leaf curl Lucknow alphasatellite,ssDNA
Erwinia phage phiEa104,dsDNA
Salmonella virus ViI,dsDNA
Synechococcus phage S-SSM7,dsDNA
Synechococcus phage S-SM2,dsDNA
Salmonella phage Vi06,dsDNA
Prochlorococcus phage P-RSM4,dsDNA
Lactococcus phage 949,dsDNA
Camelus dromedarius papillomavirus 1,dsDNA
Brochothrix phage NF5,dsDNA
Tsukamurella phage TPA2,dsDNA
Simian adenovirus 49,dsDNA
Vibrio phage ICP2,dsDNA
Santeuil nodavirus,ssRNA(+)
Klebsiella phage K11,dsDNA
Japanese eel endothelial cells-infecting virus,dsDNA
Abutilon mosaic Bolivia virus,ssDNA(+/-)
Fowl aviadenovirus E,dsDNA
Human papillomavirus type 131,dsDNA
Cyclovirus bat/USA/2009,ssDNA(+/-)
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09],ssDNA
Mycobacterium phage Wee,dsDNA
Okra leaf curl India virus [India:Sonipat EL14A:2006],ssDNA(+/-)
Escherichia phage vB_EcoM_VR7,dsDNA
Bromus catharticus striate mosaic virus,ssDNA(+/-)
Tomato leaf curl Cameroon alphasatellite,ssDNA
Micromonas sp. RCC1109 virus MpV1,dsDNA
Chickpea redleaf virus,ssDNA(+/-)
Chimpanzee polyomavirus Bob,dsDNA
Rotavirus D chicken/05V0049/DEU/2005,dsRNA
Acinetobacter phage Ac42,dsDNA
Porcine parvovirus 4,ssDNA(+/-)
Tobacco leaf curl Pusa virus,ssDNA(+/-)
Cleome leaf crumple alphasatellite,ssDNA
Saimiriine alphaherpesvirus 1,dsDNA
Aeromonas phage phiAS4,dsDNA
Torque teno virus 2,ssDNA(-)
Cotton leafroll dwarf virus,ssRNA(+)
Human papillomavirus 127,dsDNA
Mycobacterium virus Bron,dsDNA
Broome virus,dsRNA
Passerivirus A1,ssRNA(+)
Clostridium phage phiCTP1,dsDNA
Melon chlorotic mosaic alphasatellite,ssDNA
Circulifer tenellus virus 1,dsRNA
Pepper yellow mosaic virus,ssRNA(+)
Hyperthermophilic Archaeal Virus 1,dsDNA
Soybean chlorotic blotch virus,ssDNA(+/-)
Freesia mosaic virus,ssRNA(+)
Rubber viroid India/2009,ssRNA
Torque teno virus 16,ssDNA(-)
Torque teno virus 15,ssDNA(-)
Torque teno douroucouli virus,ssDNA(-)
Torque teno virus 25,ssDNA(-)
Torque teno virus 12,ssDNA(-)
Torque teno virus 26,ssDNA(-)
Human papillomavirus 134,dsDNA
Penaeus vannamei nodavirus,ssRNA(+)
Torque teno canis virus,ssDNA(-)
Okra yellow mosaic Mexico virus,ssDNA(+/-)
Human papillomavirus type 128,dsDNA
Cyclovirus PKgoat21/PAK/2009,ssDNA(+/-)
Tuber aestivum betaendornavirus,dsRNA
Murine adenovirus 2,dsDNA
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005],ssDNA
Southern rice black-streaked dwarf virus,dsRNA
Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006],ssDNA(+/-)
Passion fruit woodiness virus,ssRNA(+)
Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004],ssDNA(+/-)
Okra leaf curl Cameroon virus,ssDNA(+/-)
Bathycoccus sp. RCC1105 virus BpV1,dsDNA
Raspberry latent virus,dsRNA
Enterobacter phage CC31,dsDNA
Tomato leaf curl Togo betasatellite-[Togo:2006],ssDNA
Pineapple bacilliform CO virus,dsDNA-RT
Cafeteria roenbergensis virus BV-PW1,dsDNA
Tomato leaf curl Bangladesh betasatellite,ssDNA
Euphorbia yellow mosaic virus associated DNA 1,ssDNA
Digitaria didactyla striate mosaic virus,ssDNA(+/-)
Brugmansia suaveolens mottle virus,ssRNA(+)
Escherichia virus RB16,dsDNA
Croton yellow vein virus,ssDNA(+/-)
Velvet tobacco mottle virus,ssRNA(+)
Oscivirus A2,ssRNA(+)
Human polyomavirus 7,dsDNA
Bundibugyo ebolavirus,ssRNA(-)
Bocavirus gorilla/GBoV1/2009,ssDNA(+/-)
Bidens mottle virus,ssRNA(+)
Enterobacteria phage IME08,dsDNA
Human papillomavirus 121,dsDNA
Abutilon Brazil virus,ssDNA(+/-)
Chiltepin yellow mosaic virus,ssRNA(+)
Sulfolobus turreted icosahedral virus 2,dsDNA
Torque teno tamarin virus,ssDNA(-)
Torque teno mini virus 5,ssDNA(-)
Torque teno virus 6,ssDNA(-)
Torque teno virus 3,ssDNA(-)
Torque teno virus 14,ssDNA(-)
Torque teno virus 28,ssDNA(-)
Apricot latent virus,ssRNA(+)
Sweet potato virus C,ssRNA(+)
Ostreococcus lucimarinus virus 1,dsDNA
Ugandan cassava brown streak virus,ssRNA(+)
Ageratum leaf curl Buea betasatellite,ssDNA
Cowpea mild mottle virus,ssRNA(+)
Acinetobacter phage Acj9,dsDNA
Acanthamoeba polyphaga mimivirus,dsDNA
Ageratum leaf curl Cameroon virus,ssDNA(+/-)
Spinach severe curly top virus,ssDNA(+/-)
Shigella phage SP18,dsDNA
Armigeres subalbatus virus SaX06-AK20,dsRNA
Turkey adenovirus 1,dsDNA
Tomato leaf curl Oman virus,ssDNA(+/-)
Tomato leaf deformation virus,ssDNA(+/-)
Staphylococcus virus SAP26,dsDNA
Simian retrovirus 4,ssRNA-RT
Sida golden mosaic Florida virus-Malvastrum,ssDNA(+/-)
Bat adeno-associated virus YNM,ssDNA(+/-)
Human polyomavirus 6,dsDNA
Tai Forest ebolavirus,ssRNA(-)
Spissistilus festinus virus 1,dsRNA
Mus musculus papillomavirus type 1,dsDNA
Hyperthermophilic Archaeal Virus 2,dsDNA
Streptomyces phage phiSASD1,dsDNA
Torque teno mini virus 6,ssDNA(-)
Soybean mild mottle virus,ssDNA(+/-)
Sida golden mottle virus,ssDNA(+/-)
Torque teno sus virus k2a,ssDNA(-)
Torque teno mini virus 4,ssDNA(-)
Torque teno mini virus 2,ssDNA(-)
Torque teno mini virus 7,ssDNA(-)
Torque teno virus 19,ssDNA(-)
Torque teno virus 27,ssDNA(-)
Torque teno sus virus 1a,ssDNA(-)
Porcine circovirus type 1/2a,ssDNA(+/-)
Olive latent virus 3,ssRNA(+)
Phlebiopsis gigantea mycovirus dsRNA 1,dsRNA
Croton yellow vein mosaic alphasatellite,ssDNA
Diplodia scrobiculata RNA virus 1,dsRNA
Delftia phage PhiW-14,dsDNA
Shigella phage Ag3,dsDNA
Human papillomavirus 132,dsDNA
Cyclovirus NGchicken15/NGA/2009,ssDNA(+/-)
Rhynchosia yellow mosaic India virus,ssDNA(+/-)
Malvastrum yellow mosaic Cameroon alphasatellite,ssDNA
Tolypocladium cylindrosporum virus 1,dsRNA
Lupinus mosaic virus,ssRNA(+)
Okra enation leaf curl virus [India:Munthal EL37:2006],ssDNA(+/-)
Ageratum leaf curl Cameroon alphasatellite,ssDNA
Mud crab virus,ssRNA(+)
Ostreococcus tauri virus 2,dsDNA
Chickpea chlorosis virus-A,ssDNA(+/-)
Chaetoceros protobacilladnavirus 4,ssDNA
Acinetobacter phage Acj61,dsDNA
Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008],ssDNA(+/-)
Aeromonas phage phiAS5,dsDNA
Malvastrum yellow vein Changa Manga virus,ssDNA(+/-)
Great Island virus,dsRNA
Tobacco leaf curl PUSA alphasatellite,ssDNA
Blueberry latent virus,dsRNA
Frangipani mosaic virus,ssRNA(+)
Bat coronavirus BM48-31/BGR/2008,ssRNA(+)
Rhododendron virus A,dsRNA
Mycobacterium virus Angelica,dsDNA
Melon chlorotic mosaic virus,ssDNA(+/-)
Oscivirus A1,ssRNA(+)
Fenneropenaeus chinensis hepandensovirus,ssDNA(+/-)
Trichodysplasia spinulosa-associated polyomavirus,dsDNA
Bettongia penicillata papillomavirus 1,dsDNA
Panax virus Y,ssRNA(+)
Turnip curly top virus,ssDNA(+/-)
Providence virus,ssRNA(+)
Slow bee paralysis virus,ssRNA(+)
Torque teno midi virus 2,ssDNA(-)
Torque teno mini virus 1,ssDNA(-)
Torque teno mini virus 3,ssDNA(-)
Torque teno virus 8,ssDNA(-)
Torque teno felis virus,ssDNA(-)
Torque teno virus 7,ssDNA(-)
Sugarcane streak mosaic virus,ssRNA(+)
Torque teno virus 10,ssDNA(-)
Mycobacterium virus Ardmore,dsDNA
Torque teno mini virus 8,ssDNA(-)
Klebsiella phage KP15,dsDNA
Cotton leaf curl Burewala betasatellite,ssDNA
California sea lion polyomavirus 1,dsDNA
Sweet potato leaf curl Bengal virus,ssDNA(+/-)
Clavibacter phage CMP1,dsDNA
Marseillevirus marseillevirus,dsDNA
Mycobacterium virus Peaches,dsDNA
Enterococcus phage phiFL4A,dsDNA
Vibrio phage N4,dsDNA
Sodalis phage SO1,dsDNA
Fusarium graminearum dsRNA mycovirus-4,RNA
Acidianus spindle-shaped virus 1,dsDNA
Cotton leaf curl Gezira alphasatellite,ssDNA
Pelargonium vein banding virus,dsDNA-RT
Saccharum streak virus,ssDNA(+/-)
Sugarcane bacilliform Guadeloupe D virus,dsDNA-RT
Acyrthosiphon pisum virus,ssRNA(+)
