Species,Genome composition
Streptococcus phage SW2,dsDNA
Streptococcus phage SW3,dsDNA
Streptococcus phage SW5,dsDNA
Streptococcus phage SW6,dsDNA
Streptococcus phage SW7,dsDNA
Streptococcus phage SW8,dsDNA
Streptococcus phage SWK3,dsDNA
Streptococcus phage SWK6,dsDNA
Streptococcus phage vB_SthS_VA214,dsDNA
Streptococcus phage vB_SthS_VA460,dsDNA
Streptococcus phage 5093,dsDNA
Streptococcus phage CHPC1198,dsDNA
Streptococcus phage CHPC1151,dsDNA
Streptococcus phage CHPC1282,dsDNA
Streptococcus phage P0092,dsDNA
Streptococcus phage P0093,dsDNA
Streptococcus phage P0095,dsDNA
Streptococcus phage SW19,dsDNA
Streptococcus phage SW24,dsDNA
Streptococcus phage SW27,dsDNA
Streptococcus phage SW4,dsDNA
Pseudomonas phage vB_PaeM_PA5oct,dsDNA
Cellulophaga phage phi10:1,dsDNA
Cellulophaga phage phi19:1,dsDNA
Cellulophaga phage Nekkels_1,dsDNA
Acinetobacter phage vB_AbaP_Acibel007,dsDNA
Acinetobacter phage phiAB1,dsDNA
Acinetobacter phage AB3,dsDNA
Acinetobacter phage phiAb6,dsDNA
Acinetobacter phage_AbKT21phiIII,dsDNA
Acinetobacter phage Abp1,dsDNA
Acinetobacter phage_vB_AbaP_46-62_Aci07,dsDNA
Acinetobacter phage_vB_AbaP_B09_Aci08,dsDNA
Acinetobacter phage vB_AbaP_AS11,dsDNA
Acinetobacter phage vB_AbaP_AS12,dsDNA
Acinetobacter phage vB_AbaP_B1,dsDNA
Acinetobacter phage vB_AbaP_B3,dsDNA
Acinetobacter phage vB_AbaP_B5,dsDNA
Acinetobacter phage vB_AbaP_D2,dsDNA
Acinetobacter phage Fri1,dsDNA
Acinetobacter phage SH-Ab 15519,dsDNA
Acinetobacter phage IME-200,dsDNA
Acinetobacter phage vB_ApiP_P1,dsDNA
Acinetobacter phage vB_ApiP_P2,dsDNA
Acinetobacter phage vB_AbaP_PD-6A3,dsDNA
Acinetobacter phage vB_AbaP_PD-AB9,dsDNA
Acinetobacter phage SWH-Ab-1,dsDNA
Acinetobacter phage SWH-Ab-3,dsDNA
Acinetobacter phage WCHABP5,dsDNA
Acinetobacter phage Petty,dsDNA
Vibrio phage Vc1,dsDNA
Vibrio phage phi-A318,dsDNA
Vibrio phage AS51,dsDNA
Vibrio phage Vp670,dsDNA
Marinomonas phage CB5A,dsDNA
Marinomonas phage CPP1m,dsDNA
Vibrio phage VEN,dsDNA
Pseudomonas phage Achelous,dsDNA
Pseudomonas phage Alpheus,dsDNA
Pseudomonas phage Nerthus,dsDNA
Pseudomonas phage Njord,dsDNA
Pseudomonas phage uligo,dsDNA
Pseudomonas phage YMC11/06/C171_PPU_BP,dsDNA
Pectobacterium phage PP16,dsDNA
Pectobacterium phage PPWS1,dsDNA
Pectobacterium phage PPWS2,dsDNA
Pectobacterium phage vB_PatP_CB5,dsDNA
Pectobacterium phage Clickz,dsDNA
Pectobacterium phage φM1,dsDNA
Pectobacterium phage Gaspode,dsDNA
Pectobacterium phage Khlen,dsDNA
Pectobacterium phage Koot,dsDNA
Pectobacterium phage Lelidair,dsDNA
Pectobacterium phage Nobby,dsDNA
Pectobacterium phage Peat1,dsDNA
Pectobacterium phage Phoria,dsDNA
Pectobacterium phage PP90,dsDNA
Pectobacterium phage Zenivior,dsDNA
Dickeya phage BF25/12,dsDNA
Pseudomonas phage phiNV3,dsDNA
Pseudomonas phage vB_PaeP_PAO1_1-15pyo,dsDNA
Pseudomonas phage vB_PaeP_PAO1_Ab05,dsDNA
Pseudomonas phage vB_PaeP_PPA-ABTNL,dsDNA
Pseudomonas phage DL62,dsDNA
Pseudomonas phage phikF77,dsDNA
Pseudomonas phage LKD16,dsDNA
Pseudomonas phage LUZ19,dsDNA
Pseudomonas phage MPK6,dsDNA
Pseudomonas phage MPK7,dsDNA
Pseudomonas phage phiNFS,dsDNA
Pseudomonas phage PAXYB1,dsDNA
Pseudomonas phage phiKMV,dsDNA
Pseudomonas phage PT2,dsDNA
Pseudomonas phage PT5,dsDNA
Pseudomonas phage vB_PaeP_130_113,dsDNA
Pseudomonas phage RLP,dsDNA
Pseudomonas phage LKA1,dsDNA
Pseudomonas phage phi-2,dsDNA
Aeromonas phage phiAS7,dsDNA
Aeromonas phage_ZPAH7,dsDNA
Aeromonas phage ZPAH7B,dsDNA
Yersinia phage vB_YenP_ISAO8,dsDNA
Aeromonas phage Ahp1,dsDNA
Aeromonas phage CF7,dsDNA
Cronobacter phage Dev-CD-23823,dsDNA
Cronobacter phage vB_CskP_GAP227,dsDNA
Salmonella phage vB_SpuP_Spp16,dsDNA
Yersinia phage phiR8-01,dsDNA
Yersinia phage fHe-Yen3-01,dsDNA
Yersinia phage phi80-18,dsDNA
Pectobacterium phage Arno160,dsDNA
Pectobacterium phage PP2,dsDNA
Proteus phage PM 116,dsDNA
Proteus phage vB_PmiP_Pm5460,dsDNA
Proteus phage PM 85,dsDNA
