Species,Genome.composition
Tungrovirus agapanthi,dsDNA-RT
Broome densovirus 1,ssDNA(+/-)
Rose virus B,ssRNA(+)
Fadolivirus algeromassiliense,dsDNA
Tilapia parvovirus,ssDNA(+/-)
Clinch densovirus 1,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 3,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 2,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 1,ssDNA(+/-)
Pacific black duck chaphamaparvovirus 1,ssDNA(+/-)
Amomum potyvirus A,ssRNA(+)
Rhabdoviridae sp.,ssRNA(-)
Macrophomina phaseolina hypovirus 2,ssRNA(+)
Camellia ringspot associated virus 4,ssRNA(+)
California sea lion parvovirus,ssDNA(+/-)
Magnaporthe oryzae botourmiavirus 7,ssRNA(+)
Magnaporthe oryzae botourmiavirus 6,ssRNA(+)
Aconite virus A,ssRNA(+)
Ambidensovirus sp.,ssDNA(+/-)
Ambidensovirus sp.,ssDNA(+/-)
Thrips tabaci associated dimarhabdovirus 1,RNA
Sorghum almum marafivirus,ssRNA(+)
Kenyan potato cytorhabdovirus,ssRNA(-)
Magnaporthe oryzae botourmiavirus 5,ssRNA(+)
Erysiphe necator associated negative-stranded RNA virus 2,RNA
Erysiphe necator associated negative-stranded RNA virus 23,RNA
Erysiphe necator associated negative-stranded RNA virus 6,RNA
Erysiphe necator associated negative-stranded RNA virus 5,RNA
Grapevine foveavirus A,ssRNA(+)
Elephant endotheliotropic herpesvirus 3,dsDNA
Diciambidensovirus hemipteran2,ssDNA(+/-)
Macaca fascicularis chapparvovirus,ssDNA(+/-)
Eqcopivirus EqCoPV_8,ssDNA(+/-)
Werosea cyclovirus,ssDNA(+/-)
Dependoparvovirus avian1,ssDNA(+/-)
Avian chapparvovirus,ssDNA(+/-)
Chaphamaparvovirus carnivoran3,ssDNA(+/-)
Werosea circovirus,ssDNA(+/-)
Blattambidensovirus incertum3,ssDNA(+/-)
Iltovirus psittacidalpha5,dsDNA
Loquat virus A,ssRNA(+)
Phocoena pestivirus,ssRNA(+)
Alphabaculovirus alterchrincludentis,dsDNA
Pestivirus P,ssRNA(+)
Pestivirus sp.,ssRNA(+)
Cactus carlavirus 2,ssRNA(+)
Cactus carlavirus 1,ssRNA(+)
Botryosphaeria dothidea Ourmia-like virus,ssRNA(+)
Penaeus monodon metallodensovirus,ssDNA(+/-)
Naranjilla mild mosaic virus,ssRNA(+)
Solenopsis invicta virus 6,ssRNA(+)
Pestivirus S,ssRNA(+)
Yermavirus ilicis,ssDNA
Desmodus rotundus dependoparvovirus,ssDNA(+/-)
Rodent bocavirus,ssDNA(+/-)
Pileated finch aveparvovirus,ssDNA(+/-)
Opossum tetraparvovirus,ssDNA(+/-)
Rodent tetraparvovirus,ssDNA(+/-)
Naranjilla chlorotic mosaic virus,ssRNA(+)
Thladiantha dubia mosaic virus,ssRNA(+)
Anemone mosaic virus,ssRNA(+)
Chaetoceros tenuissimus DNA virus SS12-43V,DNA
Rodent pestivirus,ssRNA(+)
Rodent pestivirus,ssRNA(+)
Lupine feces-associated densovirus 2,ssDNA(+/-)
Human CSF-associated densovirus,ssDNA(+/-)
Ornithogalum mosaic virus,ssRNA(+)
Canine bocavirus 3,ssDNA(+/-)
Delusorvirus cascadiense,dsDNA
Trialeurodes vaporariorum mononega-like virus 2,ssRNA(-)
Supella longipalpa mononega-like virus 2,ssRNA(-)
Chalcocoris rutilans mononega-like virus 2,ssRNA(-)
Trichopria drosophilae mononega-like virus,ssRNA(-)
Belostoma flumineum mononega-like virus,ssRNA(-)
Periplaneta americana mononega-like virus,ssRNA(-)
Rhagovelia obesa mononega-like virus,ssRNA(-)
Nomada lathburiana mononega-like virus,ssRNA(-)
Oropsylla silantiewi mononega-like virus 2,ssRNA(-)
Armillaria mellea negative strand RNA virus 2,ssRNA(-)
Pinus flexilis virus 1,ssRNA(-)
Trachyspermum ammi virus 1,ssRNA(-)
Tagetes erecta virus 1,ssRNA(-)
Nymphaea alba virus 1,ssRNA(-)
Cytorhabdovirus orchidaceae,ssRNA(-)
Glehnia littoralis virus 1,ssRNA(-)
Cytorhabdovirus bemisiae,ssRNA(-)
Anthurium amnicola virus 1,ssRNA(-)
Betanucleorhabdovirus rhododendri,ssRNA(-)
Betanucleorhabdovirus plectranthi,ssRNA(-)
Asclepias syriaca virus 2,ssRNA(-)
Asclepias syriaca virus 1,ssRNA(-)
Agave tequilana virus 1,ssRNA(-)
Acanthamoeba castellanii medusavirus,unknown
Macropodid alphaherpesvirus 4,dsDNA
Rhadinovirus colobinegamma1,dsDNA
Cacatuid alphaherpesvirus 2,dsDNA
Simplexvirus pteropodidalpha2,dsDNA
Equid herpesvirus 6,dsDNA
Macaca arctoides gammaherpesvirus 1,dsDNA
Tomato leaf curl Pakistan betasatellite,ssDNA
Cotton leaf curl betasatellite,ssDNA
Cotton leaf curl betasatellite,ssDNA
Kenaf leaf curl betasatellite,ssDNA
Nepovirus tunisiaense,ssRNA(+)
Jeilongvirus erinacei,ssRNA(-)
Rubivirus rubellae,ssRNA(+)
Equine infectious anemia virus,ssRNA-RT
Gammanudivirus cameanadis,dsDNA
Gammanudivirus cracrangonis,dsDNA
Anicalvirus hangzhouense,ssRNA(-)
Anidravirus hangzhouense,ssRNA(-)
Mutorquevirus equid2,ssDNA(-)
Jeilongvirus rungweense,ssRNA(-)
Torovirus banli,ssRNA(+)
Vesiculovirus mediterranean,ssRNA(-)
Sunrhavirus matariya,ssRNA(-)
Sunrhavirus alexandria,ssRNA(-)
Sunrhavirus ouango,ssRNA(-)
Sunrhavirus kolongo,ssRNA(-)
Sunrhavirus bimbo,ssRNA(-)
Sunrhavirus nasoule,ssRNA(-)
Sunrhavirus sandjimba,ssRNA(-)
Sunrhavirus boteke,ssRNA(-)
Hapavirus bangoran,ssRNA(-)
Hapavirus porton,ssRNA(-)
Tepovirus AgVT,ssRNA(+)
Hymenopteran rhabdo-related virus,ssRNA(-)
Hymenopteran rhabdo-related virus,ssRNA(-)
Odonatavirus draconis,ssRNA(-)
Odonatavirus odontis,ssRNA(-)
Waikavirus liegense,ssRNA(+)
Pelmivirus eymattense,ssRNA(-)
Phelinovirus aphidis,ssRNA(-)
Xenophyvirus mathesonense,ssRNA(-)
Synelinevirus bonnense,ssRNA(-)
Chirohepevirus eptesici,ssRNA(+)
Carlavirus SCV1,ssRNA(+)
Thamnovirus kanderense,ssRNA(-)
Copasivirus manlyvaleense,ssRNA(-)
Chrysanthemum yellow dwarf virus,ssRNA(-)
Joa yellow blotch virus,ssRNA(-)
Lyctovirus alpa,ssRNA(+)
Vebetovirus paba,ssRNA(+)
Sobemovirus smamv,ssRNA(+)
Cytorhabdovirus rosae,ssRNA(-)
Nimanivirus lahi,ssRNA(+)
Alphayadokarivirus rokubani,RNA
Formivirus solenopsi,ssRNA(-)
Betabaculovirus maphaseoli,dsDNA
Potyvirus fountaingrassi,ssRNA(+)
Duamitovirus bodo1,ssRNA(+)
Bat alphacoronavirus,ssRNA(+)
Potyvirus achyranthis,ssRNA(+)
Unuamitovirus fuan1,ssRNA(+)
Unuamitovirus fuve1,ssRNA(+)
Auricularimonavirus bondarzewiae,ssRNA(-)
Cytorhabdovirus cucurbitae,ssRNA(-)
Sclerotimonavirus cryphonectriae,ssRNA(-)
Sequivirus stellatum,ssRNA(+)
Yaravirus brasiliensis,DNA
Andurilvirus finwe,ssDNA
