Species,Genome.composition
Human mastadenovirus D,dsDNA
Lettuce chlorosis virus,ssRNA(+)
Cosavirus A,ssRNA(+)
Mycobacterium virus Halo,dsDNA
Pestivirus brazilense,ssRNA(+)
Mammarenavirus lujoense,ssRNA(+/-)
Moineauvirus Abc2,dsDNA
Bixzunavirus Bxz1,dsDNA
Tomato leaf curl Cameroon virus,ssDNA(+/-)
Xylella phage Xfas53,dsDNA
Varicellovirus felidalpha1,dsDNA
Fort Morgan virus,ssRNA(+)
Fusarium graminearum dsRNA mycovirus-3,dsRNA
Epizootic hemorrhagic disease virus,dsRNA
Rosellinia necatrix megabirnavirus 1,dsRNA
Alphapolyomavirus ponpygmaeus,dsDNA
Leucas zeylanica yellow vein virus satellite DNA beta,ssDNA
Phytophthora infestans RNA virus 1,ssRNA(+)
Bovine mastadenovirus B,dsDNA
Murine mastadenovirus A,dsDNA
Cassava virus C,ssRNA(+)
Sigmavirus melanogaster,ssRNA(-)
Chilli leaf curl Multan alphasatellite,ssDNA
Tomato chocolate spot virus,ssRNA(+)
Burkholderia phage KS9,dsDNA
Circovirus-like genome CB-B,ssDNA
Circovirus-like genome RW-C,ssDNA
Cyanophage PSS2,dsDNA
Okra leaf curl virus,ssDNA(+/-)
Salivirus A,ssRNA(+)
Wheat yellow dwarf virus-GPV,ssRNA(+)
Alphatrevirus St1,ssDNA(+)
Cosavirus B,ssRNA(+)
Cytomegalovirus cercopithecinebeta5,dsDNA
Tomato leaf curl Pakistan alphasatellite,ssDNA
Vansinderenvirus 5093,dsDNA
Eisenstarkvirus L7,dsDNA
Sweet potato badnavirus B,dsDNA-RT
Cassava brown streak virus,ssRNA(+)
Eragrostis curvula streak virus,ssDNA(+/-)
Ageratum leaf curl Cameroon betasatellite,ssDNA
Tequatrovirus RB14,dsDNA
Murine mastadenovirus C,dsDNA
Orthoflavivirus kedougouense,ssRNA(+)
Alphabaculovirus lyxylinae,dsDNA
Cotton leaf curl Burewala alphasatellite,ssDNA
Betabaculovirus arrapae,dsDNA
Enterovirus J,ssRNA(+)
Alphapleolipovirus HHPV1,dsDNA; ssDNA
Litunavirus LIT1,dsDNA
Phifelvirus FL2,dsDNA
Phifelvirus FL3,dsDNA
Przondovirus KP32,dsDNA
Citrus viroid VI,ssRNA
Muvirus mu,dsDNA
Drosophila melanogaster totivirus SW-2009a,dsRNA
Sulfolobus spindle-shaped virus 6,dsDNA
Sweet potato leaf curl Canary virus,ssDNA(+/-)
Velvet bean severe mosaic virus,ssDNA(+/-)
Barfin flounder nervous necrosis virus,ssRNA(+)
HMO Astrovirus A,ssRNA(+)
Melandrium yellow fleck virus,ssRNA(+)
Lambdapapillomavirus 3,dsDNA
Human mastadenovirus A,dsDNA
Fowl aviadenovirus A,dsDNA
Faba bean necrotic stunt virus,ssDNA(+)
European mountain ash ringspot-associated virus,ssRNA(-)
Thermus virus P23-77,dsDNA
Circovirus-like genome RW-E,ssDNA
Gammapapillomavirus 9,dsDNA
Dyoepsilonpapillomavirus 1,dsDNA
Salmonella phage g341c,dsDNA
Sclerotinia sclerotiorum partitivirus S,dsRNA
Sunn hemp leaf distortion virus,ssDNA(+/-)
Circovirus-like genome RW-A,ssDNA
Streptococcus phage M102,dsDNA
Carrot yellow leaf virus,ssRNA(+)
Drosophila A virus,ssRNA(+)
Coleviroid cbvd-6,ssRNA
Passionfruit severe leaf distortion virus,ssDNA(+/-)
Triticum mosaic virus,ssRNA(+)
Fibrovirus fs1,ssDNA(+)
Orthoflavivirus wesselsbronense,ssRNA(+)
Nyavirus midwayense,ssRNA(-)
Krischvirus jse,dsDNA
St-Valerien swine virus,ssRNA(+)
Malvastrum yellow vein virus,ssDNA(+/-)
Protoambidensovirus dipteran1,ssDNA(+/-)
Alphapleolipovirus HRPV1,dsDNA; ssDNA
Alphabaculovirus eupseudoconspersae,dsDNA
Unuamitovirus thba1,ssRNA(+)
Orthoflavivirus bagazaense,ssRNA(+)
Mooreparkvirus Lb3381,dsDNA
Duck astrovirus GII.A,ssRNA(+)
Gammapapillomavirus 7,dsDNA
Tomato leaf curl Nigeria virus,ssDNA(+/-)
Gammapapillomavirus 6,dsDNA
Coleviroid cbvd-5,ssRNA
Sea turtle tornovirus 1,ssDNA
Helleborus net necrosis virus,ssRNA(+)
Pepper veinal mottle virus,ssRNA(+)
Pbunavirus PB1,dsDNA
Grapevine leafroll-associated virus 10,ssRNA(+)
Pbunavirus SN,dsDNA
Cactus mild mottle virus,ssRNA(+)
Casadabanvirus MP29,dsDNA
Varicellovirus equidalpha9,dsDNA
Beet cryptic virus 1,dsRNA
Amalgavirus lycopersici,dsRNA
Peach mosaic virus,ssRNA(+)
Thrush coronavirus HKU12-600,ssRNA(+)
Tymovirus plantagonis,ssRNA(+)
Poinsettia latent virus,ssRNA(+)
Tombusvirus algeriaense,ssRNA(+)
Potato latent virus,ssRNA(+)
Adoxophyes orana nucleopolyhedrovirus,dsDNA
Habenivirus RSM3,ssDNA(+)
Betapolyomavirus myolucifugus,dsDNA
Mycobacterium virus Ramsey,dsDNA
Alphabaculovirus agipsilonis,dsDNA
Plotvirus plot,dsDNA
Dyodeltapapillomavirus 1,dsDNA
Bacteroides phage B40-8,dsDNA
Higashivirus RSB1,dsDNA
Lessievirus bcepil02,dsDNA
Dhakavirus JS10,dsDNA
Nyavirus nyamaniniense,ssRNA(-)
Aorunvirus V12,dsDNA
Quang Binh virus,ssRNA(+)
Brevihamaparvovirus dipteran1,ssDNA(+/-)
Teubervirus P087,dsDNA
Phikmvvirus kF77,dsDNA
Euphorbia yellow mosaic virus,ssDNA(+/-)
Bocaparvovirus primate1,ssDNA(+/-)
Marafivirus syrahense,ssRNA(+)
Tomato leaf curl Patna betasatellite,ssDNA
Cotton leaf curl Burewala virus,ssDNA(+/-)
Allium virus X,ssRNA(+)
Bocaparvovirus primate2,ssDNA(+/-)
Salmonella phage epsilon34,dsDNA
Dyoiotapapillomavirus 1,dsDNA
Lactobacillus phage Lv-1,dsDNA
Gossypium punctatum mild leaf curl virus,ssDNA(+/-)
Human T-lymphotropic virus 4,ssRNA-RT
Casadabanvirus MP38,dsDNA
Abalone shriveling syndrome-associated virus,dsDNA
Rabbit calicivirus Australia 1 MIC-07,ssRNA(+)
Hapavirus wongabel,ssRNA(-)
Narcissus yellow stripe virus,ssRNA(+)
Stenotrophomonas phage S1,dsDNA
Zantedeschia mild mosaic virus,ssRNA(+)
Sendosyvirus APSE2,dsDNA
Decapod hepandensovirus 1,ssDNA(+/-)
Cytorhabdovirus lactucamaculante,ssRNA(-)
Tymovirus scrophulariae,ssRNA(+)
Ceduovirus bIL67,dsDNA
East African cassava mosaic Kenya virus,ssDNA(+/-)
Clerodendrum golden mosaic China virus,ssDNA(+/-)
Pankowvirus YYZ2008,dsDNA
Clostridium phage phiCP39-O,dsDNA
Listeria phage P40,dsDNA
Konstantinevirus konstantine,dsDNA
African oil palm ringspot virus,ssRNA(+)
Enterococcus phage EFAP-1,dsDNA
Gammapapillomavirus 8,dsDNA
Chaetoceros socialis forma radians RNA virus 1,ssRNA(+)
Cystovirus phi2954,dsRNA
Mycobacterium phage Phlyer,dsDNA
Sigmatorquevirus otari1,ssDNA(-)
Asparagus virus 2,ssRNA(+)
Kolesnikvirus Ea214,dsDNA
Raphanus sativus cryptic virus 3,dsRNA
Schlumbergera virus X,ssRNA(+)
Lederbergvirus SE1Spa,dsDNA
Gammacarmovirus glycinis,ssRNA(+)
Spodoptera litura nucleopolyhedrovirus II,dsDNA
Blackberry chlorotic ringspot virus,ssRNA(+)
Triavirus IPLA35,dsDNA
Pepper chat fruit viroid,ssRNA
Primate T-lymphotropic virus 3,ssRNA-RT
Varicosavirus lactucae,ssRNA(-)
Tymovirus nemesiae,ssRNA(+)
Berlinvirus Kvp1,dsDNA
Betatectivirus AP50,dsDNA
Colneyvirus CD27,dsDNA
Okubovirus SPO1,dsDNA
Toursvirus dptv1a,dsDNA
Senecavirus A,ssRNA(+)
Mulberry small circular viroid-like RNA 1,ssRNA
Plotvirus plot,dsDNA
Mycobacterium virus Pacc40,dsDNA
Bixzunavirus Bxz1,dsDNA
Bixzunavirus Bxz1,dsDNA
Burkholderia phage KS10,dsDNA
Sowbane mosaic virus,ssRNA(+)
Cecivirus IEBH,dsDNA
Tomato leaf curl Kerala virus,ssDNA(+/-)
Grapevine virus E,ssRNA(+)
Rhizobium phage 16-3,dsDNA
Aorunvirus EE36phi1,dsDNA
Emilia yellow vein virus-associated DNA beta,ssDNA
Maculvirus VP93,dsDNA
Homalodisca vitripennis reovirus,dsRNA
Tequatrovirus RB51,dsDNA
Highlands J virus,ssRNA(+)
Solenopsis invicta virus 3,ssRNA(+)
Tomato leaf curl Patna virus,ssDNA(+/-)
Rhynchosia golden mosaic Yucatan virus,ssDNA(+/-)
Red clover vein mosaic virus,ssRNA(+)
Gayfeather mild mottle virus,ssRNA(+)
Dhillonvirus SSL2009a,dsDNA
Pedilanthus leaf curl virus,ssDNA(+/-)
Bhendi yellow vein Bhubhaneswar virus,ssDNA(+/-)
Ruflodivirus deformatiorudbeckiae,dsDNA-RT
Aichivirus C,ssRNA(+)
Cotton leaf curl Multan virus,ssDNA(+/-)
Dyoetapapillomavirus 1,dsDNA
Pbunavirus pv141,dsDNA
Lwoffvirus TP21,dsDNA
Dubowvirus IPLA88,dsDNA
Badnavirus venabougainvilleae,dsDNA-RT
Tymovirus anagyris,ssRNA(+)
Alphanudivirus oryrhinocerotis,dsDNA
Munia coronavirus HKU13,ssRNA(+)
Hosta virus X,ssRNA(+)
Hippeastrum latent virus,ssRNA(+)
Rotavirus A,dsRNA
Imperata yellow mottle virus,ssRNA(+)
Dyozetapapillomavirus 1,dsDNA
Astrovirus MLB1,ssRNA(+)
Pseudomonas phage PAJU2,dsDNA
Brevihamaparvovirus dipteran1,ssDNA(+/-)
Triavirus tv2958PVL,dsDNA
Pankowvirus pv1717,dsDNA
Mycobacterium virus Fruitloop,dsDNA
Brujitavirus brujita,dsDNA
Bixzunavirus Bxz1,dsDNA
Jatropha leaf curl virus,ssDNA(+/-)
Human mastadenovirus B,dsDNA
Fromanvirus solon,dsDNA
Myrnavirus myrna,dsDNA
Sulfolobus spindle-shaped virus 5,dsDNA
Fabavirus gentianae,ssRNA(+)
Pbunavirus LMA2,dsDNA
Mimivirus-dependent virus Sputnik,dsDNA
Phikmvvirus PT2,dsDNA
Tomato leaf curl Kumasi virus,ssDNA(+/-)
Chickpea chlorotic dwarf virus,ssDNA(+/-)
Mycobacterium virus Boomer,dsDNA
Salasvirus phi29,dsDNA
Teseptimavirus 13a,dsDNA
Curvularia orthocurvulavirus 1,RNA
Fromanvirus jasper,dsDNA
Tomato yellow leaf curl Axarquia virus,ssDNA(+/-)
Blainvillea yellow spot virus,ssDNA(+/-)
Fritillary virus Y,ssRNA(+)
Wissadula golden mosaic virus,ssDNA(+/-)
Bandicoot papillomatosis carcinomatosis virus type 2,dsDNA
Ageratum yellow vein Hualian virus,ssDNA(+/-)
Avian coronavirus,ssRNA(+)
Mammarenavirus paranaense,ssRNA(+/-)
Algerian watermelon mosaic virus,ssRNA(+)
Tobacco vein distorting virus,ssRNA(+)
Thottimvirus thottapalayamense,ssRNA(-)
Muscavirus musdomesticae,dsDNA
Pepper leaf curl Yunnan virus,ssDNA(+/-)
Fremauxvirus fv1706,dsDNA
Miniopterus bat coronavirus HKU8,ssRNA(+)
Orthotospovirus tomatozonae,ssRNA(+/-)
Acidianus filamentous virus 9,dsDNA
Tomato leaf curl Cotabato virus,ssDNA(+/-)
Bovine rhinitis B virus,ssRNA(+)
Beet curly top Iran virus,ssDNA(+/-)
Rose cryptic virus 1,dsRNA
Bruynoghevirus LUZ24,dsDNA
Malachra yellow vein mosaic virus-associated satellite DNA beta,ssDNA
Potato virus T,ssRNA(+)
Kostyavirus kostya,dsDNA
Steller sea lion vesivirus,ssRNA(+)
Coopervirus nigel,dsDNA
Skunavirus bibb29,dsDNA
Fromanvirus KBG,dsDNA
Tomato common mosaic virus,ssDNA(+/-)
Torradovirus marchitezum,ssRNA(+)
Macroptilium golden mosaic virus,ssDNA(+/-)
Lettuce virus X,ssRNA(+)
Brugmansia mild mottle virus,ssRNA(+)
Mesta yellow vein mosaic Bahraich virus,ssDNA(+/-)
Mieseafarmvirus RSL1,dsDNA
Melon aphid-borne yellows virus,ssRNA(+)
Mycoreovirus 1,dsRNA
Tomato leaf curl Hsinchu virus,ssDNA(+/-)
Ceratocystis resinifera virus 1,dsRNA
Caulimovirus deformatiolamii,dsDNA-RT
Comovirus raphani,ssRNA(+)
Mammarenavirus tamiamiense,ssRNA(+/-)
Aquareovirus G,dsRNA
Pepper leaf curl Yunnan virus satellite DNA beta,ssDNA
Mammarenavirus chapareense,ssRNA(+/-)
Miniopterus bat coronavirus 1,ssRNA(+)
Squash vein yellowing virus,ssRNA(+)
Kenaf leaf curl virus,ssDNA(+/-)
Asparagus virus 3,ssRNA(+)
Glossinavirus glopallidipedis,dsDNA
Hapunavirus HAP1,dsDNA
Phikmvvirus LUZ19,dsDNA
Kuravirus phiEco32,dsDNA
Emilia yellow vein virus,ssDNA(+/-)
Cardiospermum yellow leaf curl betasatellite,ssDNA
Alphabaculovirus orleucostigmae,dsDNA
Mammarenavirus amapariense,ssRNA(+/-)
Radish leaf curl betasatellite,ssDNA
Chipapillomavirus 2,dsDNA
Citrus viroid V,ssRNA
Acidianus filamentous virus 3,dsDNA
Ichnoviriform fumiferanae,dsDNA
Rhinolophus bat coronavirus HKU2,ssRNA(+)
Tomato yellow leaf curl betasatellite,ssDNA
Epirus cherry virus,ssRNA(+)
Kostyavirus porky,dsDNA
Okra mottle virus,ssDNA(+/-)
Larmunavirus Lrm1,dsDNA
Pbunavirus LBL3,dsDNA
Badnavirus necrozamiae,dsDNA-RT
Panicovirus dactylis,ssRNA(+)
Sweet potato leaf curl Spain virus,ssDNA(+/-)
Tomato leaf curl Palampur virus,ssDNA(+/-)
Vequintavirus V5,dsDNA
Kayfunavirus EcoDS1,dsDNA
Pukovnikvirus pukovnik,dsDNA
Fromanvirus lockley,dsDNA
Orthoflavivirus nilense,ssRNA(+)
Xenopus laevis endogenous retrovirus Xen1,ssRNA-RT
Cypovirus 5,dsRNA
Streptococcus phage PH15,dsDNA
Oat dwarf virus,ssDNA(+/-)
Cardiovirus D,ssRNA(+)
Serwervirus 201phi21,dsDNA
Teetrevirus SGJL2,dsDNA
Mammarenavirus latinum,ssRNA(+/-)
Verbena virus Y,ssRNA(+)
Clerodendron golden mosaic virus,ssDNA(+/-)
Chronic bee paralysis virus,ssRNA(+)
Okra leaf curl alphasatellite,ssDNA
Bean yellow disorder virus,ssRNA(+)
Enterovirus J,ssRNA(+)
Botryotinia fuckeliana partitivirus 1,dsRNA
Macdonaldcampvirus ViIIE1,dsDNA
Tomato leaf curl Cebu virus,ssDNA(+/-)
Lolium latent virus,ssRNA(+)
Hop mosaic virus,ssRNA(+)
Brussowvirus bv858,dsDNA
Gammapapillomavirus 5,dsDNA
Ligustrum necrotic ringspot virus,ssRNA(+)
Tomato leaf curl Ghana virus,ssDNA(+/-)
Alphapolyomavirus quintihominis,dsDNA
Ourmia melon virus,ssRNA(+)
Mammarenavirus bearense,ssRNA(+/-)
Feldmannia species virus,dsDNA
Predatorvirus predator,dsDNA
Iodovirus PLPE,dsDNA
Upsilonpapillomavirus 1,dsDNA
Magnaporthe oryzae virus 2,dsRNA
Diascia yellow mottle virus,ssRNA(+)
Mycobacterium phage Phaedrus,dsDNA
Deltapapillomavirus 5,dsDNA
Berlinvirus BA14,dsDNA
Alternaria alternata virus 1,dsRNA
Fromanvirus lockley,dsDNA
Allamanda leaf curl virus,ssDNA(+/-)
Tomato mild mosaic virus,ssDNA(+/-)
Tomato yellow vein streak virus,ssDNA(+/-)
Pumpkin yellow mosaic virus,ssDNA(+/-)
African green monkey simian foamy virus,ssRNA-RT
Dubowvirus MR25,dsDNA
Luteovirus rosae,ssRNA(+)
Alphachrysovirus cerasi,dsRNA
Urochloa streak virus,ssDNA(+/-)
Omegapapillomavirus 1,dsDNA
Mesta yellow vein mosaic virus-associated DNA beta,ssDNA
Peach chlorotic mottle virus,ssRNA(+)
Aquamavirus A,ssRNA(+)
Casadabanvirus MP22,dsDNA
Hepacivirus hominis,ssRNA(+)
Listeria phage B054,dsDNA
Krischvirus georgiaone,dsDNA
Hepacivirus hominis,ssRNA(+)
Corynebacterium virus P1201,dsDNA
Jericarnavirus A,ssRNA(+)
Okra leaf curl Mali virus satellite DNA beta,ssDNA
Basella rugose mosaic virus,ssRNA(+)
Dybvigvirus Av1,dsDNA
Tomato severe rugose virus,ssDNA(+/-)
Tomato yellow leaf curl Vietnam virus,ssDNA(+/-)
Erectites yellow mosaic virus satellite DNA beta,ssDNA
Minunavirus Min1,dsDNA
Wumptrevirus WMP3,dsDNA
Lindernia anagallis yellow vein virus,ssDNA(+/-)
Bielevirus phiO18P,dsDNA
Tymovirus abelmoschi,ssRNA(+)
Thalassomonas phage BA3,dsDNA
Iflavirus brebrassicae,ssRNA(+)
Enterobacteria phage cdtI,dsDNA
Bottigliavirus ABV,dsDNA
Burkholderia phage BcepGomr,dsDNA
Phlox virus S,ssRNA(+)
Tobacco vein banding mosaic virus,ssRNA(+)
Betapolyomavirus saboliviensis,dsDNA
Acidianus filamentous virus 2,dsDNA
Paramecium bursaria Chlorella virus NY2A,dsDNA
RD114 retrovirus,ssRNA-RT
Hepacivirus hominis,ssRNA(+)
Fromanvirus U2,dsDNA
Listeria phage P35,dsDNA
Chopinvirus KSY1,dsDNA
Listeria phage A500,dsDNA
Bell pepper mottle virus,ssRNA(+)
Telosma mosaic virus,ssRNA(+)
Svunavirus sv1,dsDNA
Wheat eqlid mosaic virus,ssRNA(+)
Jericarnavirus B,ssRNA(+)
Corchorus golden mosaic virus,ssDNA(+/-)
Honeysuckle yellow vein mosaic disease associated satellite DNA beta,ssDNA
Naesvirus bcepNY3,dsDNA
Tomato yellow leaf curl Vietnam betasatellite,ssDNA
Lactobacillus phage LL-H,dsDNA
Fragaria chiloensis cryptic virus,dsRNA
Mimosa yellow leaf curl virus satellite DNA beta,ssDNA
Xipdecavirus Xop411,dsDNA
Aureusvirus zeae,ssRNA(+)
Spilanthes yellow vein virus,ssDNA(+/-)
Erectites yellow mosaic virus,ssDNA(+/-)
Orthorubulavirus mapueraense,ssRNA(-)
Voetvirus syn5,dsDNA
Clerodendron yellow mosaic virus,ssDNA(+/-)
Aresaunavirus RSA1,dsDNA
Betapolyomavirus tertihominis,dsDNA
Bcepmuvirus E255,dsDNA
Botryotinia fuckeliana totivirus 1,dsRNA
Eupatorium vein clearing virus,dsDNA-RT
Torradovirus lycopersici,ssRNA(+)
Mesta yellow vein mosaic virus,ssDNA(+/-)
Mammarenavirus flexalense,ssRNA(+/-)
Ceratocystis resinifera virus 1,dsRNA
Bcepfunavirus bcepF1,dsDNA
Orthoflavivirus aroaense,ssRNA(+)
Pipistrellus bat coronavirus HKU5,ssRNA(+)
Mammarenavirus whitewaterense,ssRNA(+/-)
Epseptimavirus EPS7,dsDNA
Beluga whale coronavirus SW1,ssRNA(+)
Ludwigia leaf distortion betasatellite,ssDNA
Abaca bunchy top virus,ssDNA(+)
Traversvirus min27,dsDNA
Tomato leaf curl Mindanao virus,ssDNA(+/-)
Lactococcus phage asccphi28,dsDNA
Azospirillum phage Cd,dsDNA
Raphanus sativus cryptic virus 2,dsRNA
Eragrostis streak virus,ssDNA(+/-)
Okavirus branchiae,ssRNA(+)
Mammarenavirus allpahuayoense,ssRNA(+/-)
Mammarenavirus oliverosense,ssRNA(+/-)
Pepper leaf curl virus satellite DNA beta,ssDNA
Apscaviroid pvd,ssRNA
Mammarenavirus cupixiense,ssRNA(+/-)
Phaius virus X,ssRNA(+)
Radish leaf curl virus,ssDNA(+/-)
Bandicoot papillomatosis carcinomatosis virus type 1,dsDNA
Acidianus filamentous virus 8,dsDNA
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta,ssDNA
Sulfolobus spindle-shaped virus 4,dsDNA
Betabaculovirus helarmigerae,dsDNA
Plum bark necrosis stem pitting-associated virus,ssRNA(+)
Rhinovirus C,ssRNA(+)
Pineapple mealybug wilt-associated virus 1,ssRNA(+)
Gilesvirus giles,dsDNA
Phietavirus MR11,dsDNA
Acidianus filamentous virus 7,dsDNA
Snake atadenovirus A,dsDNA
Dhakavirus JS98,dsDNA
Vespertiliovirus SkV1CR23x,ssDNA
Stubburvirus LKA1,dsDNA
Tomato yellow dwarf disease associated satellite DNA beta-[Kochi],ssDNA
Kochikohdavirus EF24C,dsDNA
Black raspberry virus F,dsRNA
Lymphocryptovirus humangamma4,dsDNA
Rosenblumvirus SAP2,dsDNA
Hepacivirus hominis,ssRNA(+)
Jelitavirus B025,dsDNA
Oshimavirus P7426,dsDNA
Mycobacterium virus Tweety,dsDNA
Coleus vein necrosis virus,ssRNA(+)
Potato virus P,ssRNA(+)
Banana bract mosaic virus,ssRNA(+)
Tomato leaf curl Sinaloa virus,ssDNA(+/-)
Orthoflavivirus denguei,ssRNA(+)
Pyrococcus abyssi virus 1,dsDNA
Sida yellow vein Vietnam virus satellite DNA beta,ssDNA
Alternanthera yellow vein betasatellite,ssDNA
Mimosa yellow leaf curl virus-associated DNA 1,ssDNA
Sida yellow vein Vietnam virus,ssDNA(+/-)
Tobacco leaf curl Thailand virus,ssDNA(+/-)
Tlsvirus TLS,dsDNA
Pahexavirus PA6,dsDNA
Betabaculovirus spliturae,dsDNA
Dubowvirus dv80alpha,dsDNA
Tobacco leaf curl Japan betasatellite,ssDNA
Ascovirus TnAV2a,dsDNA
Cardiovirus B,ssRNA(+)
Sida yellow vein Madurai virus,ssDNA(+/-)
Duodecimduovirus phiE122,dsDNA
Tomato leaf curl Seychelles virus,ssDNA(+/-)
Cyvirus cyprinidallo3,dsDNA
Tomato leaf curl Joydebpur betasatellite,ssDNA
Acidianus filamentous virus 6,dsDNA
Lactobacillus prophage Lj771,dsDNA
Carltongylesvirus GJ1,dsDNA
Pseudomonas virus Yua,dsDNA
Phlox virus B,ssRNA(+)
Moroccan watermelon mosaic virus,ssRNA(+)
Paramecium bursaria Chlorella virus AR158,dsDNA
Phikmvvirus LKD16,dsDNA
Itarudivirus ARV1,dsDNA
Orthobunyavirus akabaneense,ssRNA(-)
Listeria phage A006,dsDNA
Fromanvirus bethlehem,dsDNA
Hepacivirus hominis,ssRNA(+)
Bacillus phage 0305phi8-36,dsDNA
Oshimavirus P2345,dsDNA
Pecentumvirus A511,dsDNA
Streptococcus phage P9,dsDNA
Wild tomato mosaic virus,ssRNA(+)
Scotophilus bat coronavirus 512,ssRNA(+)
Dichorhavirus orchidaceae,ssRNA(-)
Kudzu mosaic virus,ssDNA(+/-)
Tomato leaf curl Philippine betasatellite,ssDNA
Lindernia anagallis yellow vein betasatellite,ssDNA
Sida yellow vein Vietnam alphasatellite,ssDNA
Mimosa yellow leaf curl virus,ssDNA(+/-)
Rice gall dwarf virus,dsRNA
Betapolyomavirus quartihominis,dsDNA
Citrus variegation virus,ssRNA(+)
Tomato mild yellow leaf curl Aragua virus,ssDNA(+/-)
Lyssavirus hamburg,ssRNA(-)
Honeysuckle yellow vein beta,ssDNA
Jerseyvirus SETP3,dsDNA
Alphanudivirus grybimaculati,dsDNA
Chrysanthemum virus B,ssRNA(+)
Tigrvirus E202,dsDNA
Orthoflavivirus ilheusense,ssRNA(+)
Yongloolinvirus C2,dsDNA
Gammatorquevirus homidi1,ssDNA(-)
Tylonycteris bat coronavirus HKU4,ssRNA(+)
Rehmannia mosaic virus,ssRNA(+)
Aparavirus israelense,ssRNA(+)
Dioscorea bacilliform virus,dsDNA-RT
Narcissus degeneration virus,ssRNA(+)
Honeysuckle yellow vein Kagoshima virus,ssDNA(+/-)
Alphabaculovirus mavitratae,dsDNA
Rockefellervirus PH15,dsDNA
Biseptimavirus NM3,dsDNA
Orthoflavivirus entebbeense,ssRNA(+)
Dubowvirus NM1,dsDNA
Beejeyvirus BJ1,dsDNA
Raspberry leaf mottle virus,ssRNA(+)
Fukuivirus LMM01,dsDNA
Habenivirus RSM1,ssDNA(+)
Circovirus gull,ssDNA(+/-)
Siniperhavirus chuatsi,ssRNA(-)
Tequatrovirus RB32,dsDNA
Traversvirus tv86,dsDNA
Streptocarpus flower break virus,ssRNA(+)
Lactococcus virus jj50,dsDNA
Questintvirus Q54,dsDNA
Alphabaculovirus leseparatae,dsDNA
Psipapillomavirus 1,dsDNA
Ormenosvirus syn9,dsDNA
Taterapox virus,dsDNA
Narcissus common latent virus,ssRNA(+)
Avihepatovirus A,ssRNA(+)
Batravirus ranidallo1,dsDNA
Mycobacterium virus Llij,dsDNA
Mycobacterium virus PMC,dsDNA
Bixzunavirus Bxz1,dsDNA
Gammapapillomavirus 6,dsDNA
Mal de Rio Cuarto virus,dsRNA
Irtavirus F108,dsDNA
Betabaculovirus chofumiferanae,dsDNA
Vectrevirus K15,dsDNA
Prune dwarf virus,ssRNA(+)
Triatovirus hocoagulatae,ssRNA(+)
Crassocephalum yellow vein virus,ssDNA(+/-)
Acanthocystis turfacea chlorella virus 1,dsDNA
Enterovirus F,ssRNA(+)
Strawberry necrotic shock virus,ssRNA(+)
Cucumber mottle virus,ssRNA(+)
Culex flavivirus,ssRNA(+)
Croton yellow vein mosaic betasatellite,ssDNA
Thermus phage phiYS40,dsDNA
Pipapillomavirus 2,dsDNA
Circovirus finch,ssDNA(+/-)
Tomato leaf curl Karnataka betasatellite,ssDNA
Desmodium leaf distortion virus,ssDNA(+/-)
Tomato leaf curl Guangdong virus,ssDNA(+/-)
Circovirus raven,ssDNA(+/-)
Strawberry chlorotic fleck-associated virus,ssRNA(+)
Malvastrum leaf curl Guangdong virus,ssDNA(+/-)
Euphorbia mosaic virus,ssDNA(+/-)
Chipapillomavirus 1,dsDNA
Alphabaculovirus clabilineatae,dsDNA
Micromonas pusilla reovirus,dsRNA
Batravirus ranidallo2,dsDNA
Tomato yellow leaf curl Indonesia virus,ssDNA(+/-)
Malva mosaic virus,ssRNA(+)
Pegunavirus Pg1,dsDNA
Pipefishvirus pipefish,dsDNA
Kostyavirus kv244,dsDNA
Fromanvirus Che12,dsDNA
Invertebrate iridescent virus 3,dsDNA
Redspotted grouper nervous necrosis virus,ssRNA(+)
Daphne mosaic virus,ssRNA(+)
Nile crocodilepox virus,dsDNA
Alphabaculovirus agsegetum,dsDNA
Streptomyces phage mu1/6,dsDNA
Gammapolyomavirus corvi,dsDNA
Jeilongvirus beilongi,ssRNA(-)
Aureusvirus cucumis,ssRNA(+)
Salterprovirus His1,dsDNA
Alphacarmovirus lupini,ssRNA(+)
Tomato leaf curl Arusha virus,ssDNA(+/-)
Alphabaculovirus spofrugiperdae,dsDNA
Phietavirus ETA3,dsDNA
Rockefellervirus CNPH82,dsDNA
Maracuja mosaic virus,ssRNA(+)
Berlinvirus berlin,dsDNA
Orthoflavivirus sepikense,ssRNA(+)
Potato apical leaf curl disease-associated satellite DNA beta,ssDNA
Restivirus RSS1,ssDNA(+)
Alphabaculovirus ecobliquae,dsDNA
Blackberry virus Y,ssRNA(+)
Malvastrum yellow mosaic virus satellite DNA beta,ssDNA
Trichoplusia ni ascovirus 2c,dsDNA
Tomato leaf curl Pune virus,ssDNA(+/-)
Ichnoviriform fugitivi,dsDNA
Tomato yellow leaf curl Guangdong virus,ssDNA(+/-)
Pepper severe mosaic virus,ssRNA(+)
Skunavirus P008,dsDNA
Skunavirus sv712,dsDNA
Tomato leaf curl Guangxi virus,ssDNA(+/-)
Orthotospovirus capsiciflavi,ssRNA(+/-)
Norwalk virus,ssRNA(+)
Pedilanthus leaf curl virus,ssDNA(+/-)
