Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus cervidalpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha6
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha8
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus equidalpha9
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus felidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus humanalpha3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus monodontidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus phocidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Alphaherpesvirinae,Varicellovirus,,Varicellovirus suidalpha1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus aotinebeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus cebinebeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus cercopithecinebeta5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus humanbeta5
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus macacinebeta3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus macacinebeta8
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus mandrillinebeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus paninebeta2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus papiinebeta3
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus papiinebeta4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Cytomegalovirus,,Cytomegalovirus saimiriinebeta4
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Muromegalovirus,,Muromegalovirus muridbeta1
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Muromegalovirus,,Muromegalovirus muridbeta2
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Muromegalovirus,,Muromegalovirus muridbeta8
Duplodnaviria,,Heunggongvirae,,Peploviricota,,Herviviricetes,,Herpesvirales,,Orthoherpesviridae,Betaherpesvirinae,Proboscivirus,,Proboscivirus elephantidbeta1
