Species,Family,Genome.composition
Entomobirnavirus anophelae,Birnaviridae,dsRNA
Phlebovirus ticoense,Phenuiviridae,ssRNA(+/-)
Phlebovirus penablancaense,Phenuiviridae,ssRNA(+/-)
Phlebovirus napoliense,Phenuiviridae,ssRNA(+/-)
Phlebovirus campanaense,Phenuiviridae,ssRNA(+/-)
Phlebovirus cocleense,Phenuiviridae,ssRNA(+/-)
Bandavirus kismaayoense,Phenuiviridae,ssRNA(+/-)
Bandavirus albatrossense,Phenuiviridae,ssRNA(+/-)
Bandavirus heartlandense,Phenuiviridae,ssRNA(+/-)
Phlebovirus florisense,Phenuiviridae,ssRNA(+/-)
Phlebovirus uriuranaense,Phenuiviridae,ssRNA(+/-)
Phlebovirus claroense,Phenuiviridae,ssRNA(+/-)
Phlebovirus leticiaense,Phenuiviridae,ssRNA(+/-)
Uukuvirus schmidti,Phenuiviridae,RNA
Phlebovirus saloboense,Phenuiviridae,ssRNA(+/-)
Phlebovirus arumowotense,Phenuiviridae,ssRNA(+/-)
Aspergillus spelaeus polymycovirus 1,Polymycoviridae,RNA
Emaravirus rubi,Fimoviridae,ssRNA(-)
Colletotrichum camelliae polymycovirus 1,Polymycoviridae,RNA
Pistacia emaravirus,Fimoviridae,ssRNA(-)
Tai Forest coltivirus,Spinareoviridae,dsRNA
Pacuvirus chilibreense,Peribunyaviridae,ssRNA(-)
Mammalian orthoreovirus,Spinareoviridae,dsRNA
Orthobunyavirus manzanillaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus kernense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus thimiriense,Peribunyaviridae,ssRNA(-)
Orthotospovirus callaflavi,Tospoviridae,ssRNA(+/-)
Betachrysovirus botryosphaeriae,Chrysoviridae,dsRNA
Orthobunyavirus lacrosseense,Peribunyaviridae,ssRNA(-)
Mammarenavirus choriomeningitidis,Arenaviridae,ssRNA(+/-)
West African Asystasia virus 1,Geminiviridae,ssDNA(+/-)
Fabavirus persicae,Secoviridae,ssRNA(+)
Scarabeuvirus lishiense,Chuviridae,ssRNA(-)
Chuvivirus canceris,Chuviridae,ssRNA(-)
Avian orthoreovirus,Spinareoviridae,dsRNA
Maize rough dwarf virus,Spinareoviridae,dsRNA
Cotton yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Sida micrantha mosaic virus,Geminiviridae,ssDNA(+/-)
Cannabis cryptic virus,Partitiviridae,dsRNA
Tomato mottle leaf curl virus,Geminiviridae,ssDNA(+/-)
Fabavirus gentianae,Secoviridae,ssRNA(+)
Orthohantavirus sinnombreense,Hantaviridae,ssRNA(-)
Orthohantavirus puumalaense,Hantaviridae,ssRNA(-)
Orthonairovirus sakhalinense,Nairoviridae,ssRNA(-)
Orthonairovirus dermacentoris,Nairoviridae,ssRNA(-)
Genomoviridae sp.,Genomoviridae,ssDNA
Biavirus raunefjordenense,Schizomimiviridae,dsDNA
Ovine picornavirus,Picornaviridae,ssRNA(+)
Respirovirus ratufae,Paramyxoviridae,ssRNA(-)
Daphniairidovirus tvaerminne,Iridoviridae,dsDNA
Methanophagales virus GBV303,,dsDNA
Yangshan Harbor Poseidoniales virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Yangshan Harbor Nitrososphaeria virus,,dsDNA
Calfel virus LSF45_cir359,Circoviridae,ssDNA(+/-)
Calfel virus LSF31_cyc880,Circoviridae,ssDNA(+/-)
Calfel virus LSF31_cyc420,Circoviridae,ssDNA(+/-)
Calfel virus LSF17_cyc102,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 9,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 8,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 9,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 5,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 4,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 1,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 2,Circoviridae,ssDNA(+/-)
Army ant associated cyclovirus 6,Circoviridae,ssDNA(+/-)
Cyclovirus ibimonyo,Circoviridae,ssDNA(+/-)
Dipodfec virus UA23Rod_1805,Circoviridae,ssDNA(+/-)
Dipodfec virus UA04Rod_4537,,ssDNA
Dipodfec virus UA04Rod_5913,,ssDNA
Artemisia capillaris nucleorhabdovirus 1,Rhabdoviridae,ssRNA(-)
Mundri virus,Rhabdoviridae,ssRNA(-)
Chifec virus UA15_2320,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1800,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1887,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1880,Circoviridae,ssDNA(+/-)
Chifec virus UA15_35,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1817,Circoviridae,ssDNA(+/-)
Chifec virus UA13_1727,Circoviridae,ssDNA(+/-)
Avonheates virus SG_479,Bacilladnaviridae,ssDNA
Seawadnavirus gataifale,Bacilladnaviridae,ssDNA
Avonheates virus SG_146,Bacilladnaviridae,ssDNA
Kieseladnavirus katao,Bacilladnaviridae,ssDNA
Avonheates virus SG_61,Bacilladnaviridae,ssDNA
Avonheates virus SG_28,Bacilladnaviridae,ssDNA
Avonheates virus SG_19,Bacilladnaviridae,ssDNA
Avonheates virus SG_924,Bacilladnaviridae,ssDNA
Kieseladnavirus titiko,Bacilladnaviridae,ssDNA
Kieseladnavirus karahue,Bacilladnaviridae,ssDNA
Fusarium oxysporum mymonavirus 1,Mymonaviridae,ssRNA(-)
Wufeng Myotis altarium vesiculovirus 1,Rhabdoviridae,ssRNA(-)
Wenzhou Myotis laniger tupavirus 1,Rhabdoviridae,ssRNA(-)
Wenzhou Rhinolophus pusillus ledantevirus 1,Rhabdoviridae,ssRNA(-)
Erysiphe necator associated ourmia-like virus 21,Botourmiaviridae,ssRNA(+)
Eumops bonariensis associated circovirus 1,Circoviridae,ssDNA(+/-)
