Organism_Name,Family,Genome.composition
Jujube yellow mottle-associated virus,Fimoviridae,ssRNA(-)
Palo verde broom virus,Fimoviridae,ssRNA(-)
Perilla mosaic virus,Fimoviridae,ssRNA(-)
Neuropteran phasma-related virus OKIAV248,Phasmaviridae,ssRNA(-)
Parry's Creek phasivirus 1,Phenuiviridae,ssRNA(-)
Perkerra virus,Phenuiviridae,ssRNA(+/-)
Kiborgoch virus,Phenuiviridae,ssRNA(+/-)
Bogoria virus,Phenuiviridae,ssRNA(+/-)
Embossos virus,Phenuiviridae,ssRNA(+/-)
Blattodean nairo-related virus OKIAV321,Nairoviridae,ssRNA(-)
Coleopteran phasma-related virus OKIAV235,Phasmaviridae,ssRNA(-)
Coleopteran phenui-related virus OKIAV308,Phenuiviridae,RNA
Hemipteran phasma-related virus OKIAV247,Phasmaviridae,ssRNA(-)
Meram virus,Nairoviridae,ssRNA(-)
Narangue virus,Phenuiviridae,ssRNA(-)
andere Heimat virus 1,Arenaviridae,ssRNA(+/-)
SetPatVet virus 1,Arenaviridae,ssRNA(+/-)
Niukluk phantom virus,Phasmaviridae,ssRNA(-)
Penshurt virus,Phenuiviridae,ssRNA(+/-)
Dar es Salaam virus TZ-189,Phenuiviridae,RNA
Guadeloupe mosquito phasivirus,Phenuiviridae,ssRNA(-)
Kitale virus,Arenaviridae,ssRNA(+/-)
Sapphire II virus,Nairoviridae,ssRNA(-)
Carcinus maenas portunibunyavirus 1,Cruliviridae,ssRNA(-)
Salmon pescarenavirus 1,Arenaviridae,ssRNA(+/-)
Chinese mitten crab virus 1,Cruliviridae,ssRNA(-)
Fusarium graminearum gemytripvirus 1,Genomoviridae,ssDNA
Sedlec virus,Peribunyaviridae,ssRNA(-)
Triniti virus,Peribunyaviridae,ssRNA(-)
Vinegar Hill virus,Nairoviridae,ssRNA(-)
Grotenhout virus,Nairoviridae,ssRNA(-)
Xuan son virus,Hantaviridae,ssRNA(-)
Zirqa virus,,unknown
Bandia virus,Nairoviridae,ssRNA(-)
Taggert virus,Nairoviridae,ssRNA(-)
Corfou virus,Phenuiviridae,ssRNA(+/-)
Gan Gan virus,Peribunyaviridae,ssRNA(-)
Xinzhou Spider Virus,Nairoviridae,ssRNA(-)
South Bay virus,Nairoviridae,ssRNA(-)
Buffalo Creek virus,Peribunyaviridae,ssRNA(-)
Mapputta virus,Peribunyaviridae,ssRNA(-)
Oyo virus,Peribunyaviridae,ssRNA(-)
Crimean-Congo hemorrhagic fever virus 2,Nairoviridae,ssRNA(-)
dermapteran chu-related virus 142,Chuviridae,ssRNA(-)
Subterranean clover stunt virus,Nanoviridae,ssDNA(+)
Corchorus yellow vein Cuba virus,Geminiviridae,ssDNA(+/-)
Soldado virus,Nairoviridae,ssRNA(-)
Punta Salinas virus,Nairoviridae,ssRNA(-)
Abu Mina virus,Nairoviridae,ssRNA(-)
Abu Hammad virus,Nairoviridae,ssRNA(-)
Issyk-Kul virus,Nairoviridae,ssRNA(-)
Kupe virus,Nairoviridae,ssRNA(-)
