Organism_Name,Family,Genome.composition
Plumeria mosaic virus,Virgaviridae,ssRNA(+)
Badger associated gemykibivirus 1,Genomoviridae,ssDNA
Mongoose feces-associated gemycircularvirus a,Genomoviridae,ssDNA
Taro bacilliform CH virus,Caulimoviridae,dsDNA-RT
Human genital-associated circular DNA virus-1,Genomoviridae,ssDNA
Chinook salmon bafinivirus,Tobaniviridae,ssRNA(+)
Canine astrovirus,Astroviridae,ssRNA(+)
Gemycircularvirus SL1,Genomoviridae,ssDNA
Bovine hepacivirus,Flaviviridae,ssRNA(+)
Bat polyomavirus 6a,Polyomaviridae,dsDNA
Black grass cryptic virus 2,,unknown
Black grass varicosavirus-like virus,Rhabdoviridae,ssRNA(-)
Bat polyomavirus 6b,Polyomaviridae,dsDNA
Tomato enation leaf curl virus,Geminiviridae,ssDNA(+/-)
Artichoke latent virus,Potyviridae,ssRNA(+)
Bat polyomavirus 6d,Polyomaviridae,dsDNA
Simian torque teno virus 33,Anelloviridae,ssDNA(-)
Malvastrum yellow vein Cambodia virus,Geminiviridae,ssDNA(+/-)
Bat polyomavirus 5a,Polyomaviridae,dsDNA
Simian torque teno virus 34,Anelloviridae,ssDNA(-)
Apple geminivirus PL-2015,Geminiviridae,ssDNA(+/-)
Bat polyomavirus 6c,Polyomaviridae,dsDNA
Mulberry mosaic dwarf associated virus,Geminiviridae,ssDNA(+/-)
bat polyomavirus 5b1,Polyomaviridae,dsDNA
Sclerotinia sclerotiorum negative-stranded RNA virus 3,Mymonaviridae,ssRNA(-)
Graminella nigrifrons virus 1,Iflaviridae,ssRNA(+)
Simian torque teno virus 32,Anelloviridae,ssDNA(-)
Eel River basin pequenovirus,Microviridae,ssDNA(+)
Simian torque teno virus 30,Anelloviridae,ssDNA(-)
Influenza B virus (B/Lee/1940),Orthomyxoviridae,ssRNA(-)
Avon-Heathcote Estuary associated circular virus 5,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 9,Circoviridae,ssDNA(+/-)
Fusarium coeruleum mitovirus 1,Mitoviridae,ssRNA(+)
Avon-Heathcote Estuary associated circular virus 2,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 23,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 12,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 16,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 27,Circoviridae,ssDNA(+/-)
Fusarium globosum mitovirus 1,Mitoviridae,ssRNA(+)
Mycobacterium phage Trike,,dsDNA
Mycobacterium phage Sparky,,dsDNA
Mycobacterium phage Malithi,,dsDNA
Lactobacillus phage Ldl1,,dsDNA
Pseudomonas phage vB_PaeM_C1-14_Ab28,,dsDNA
Pseudomonas phage vB_PaeM_PAO1_Ab03,,dsDNA
Mycobacterium phage Gaia,,dsDNA
Avon-Heathcote Estuary associated circular virus 8,Circoviridae,ssDNA(+/-)
Sokoluk virus,Flaviviridae,ssRNA(+)
Avon-Heathcote Estuary associated circular virus 4,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 11,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 19,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 15,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 22,Circoviridae,ssDNA(+/-)
Tamarillo leaf malformation virus,Potyviridae,ssRNA(+)
Avon-Heathcote Estuary associated circular virus 26,Circoviridae,ssDNA(+/-)
Jutiapa virus,Flaviviridae,ssRNA(+)
Mycobacterium phage Estave1,,dsDNA
Mycobacterium phage Keshu,,dsDNA
Mycobacterium phage Minerva,,dsDNA
Citrus yellow vein clearing virus,Alphaflexiviridae,ssRNA(+)
Pseudomonas phage vB_PaeP_C2-10_Ab22,,dsDNA
Avon-Heathcote Estuary associated circular virus 6,Circoviridae,ssDNA(+/-)
Simian torque teno virus 31,Anelloviridae,ssDNA(-)
Pseudomonas phage vB_PaeM_PAO1_Ab27,,dsDNA
Canis familiaris papillomavirus 16,Papillomaviridae,dsDNA
Avon-Heathcote Estuary associated circular virus 1,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 20,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 13,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 17,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 24,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 28,Circoviridae,ssDNA(+/-)
Mycobacterium phage Inventum,,dsDNA
Mycobacterium phage Hades,,dsDNA
Arthrobacter phage vB_ArtM-ArV1,,dsDNA
Mycobacterium phage Milly,,dsDNA
Pseudomonas phage vB_PaeS_PAO1_Ab30,,dsDNA
Pseudomonas phage vB_PaeP_PAO1_Ab05,Autographiviridae,dsDNA
Mycobacterium phage Cerasum,,dsDNA
Avon-Heathcote Estuary associated circular virus 7,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 3,Circoviridae,ssDNA(+/-)
Cacipacore virus,Flaviviridae,ssRNA(+)
Avon-Heathcote Estuary associated circular virus 10,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 14,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 21,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 25,Circoviridae,ssDNA(+/-)
Avon-Heathcote Estuary associated circular virus 29,Circoviridae,ssDNA(+/-)
Alfalfa latent virus,Betaflexiviridae,ssRNA(+)
Mycobacterium phage Squirty,,dsDNA
Mycobacterium phage BuzzLyseyear,,dsDNA
Mycobacterium phage Alvin,,dsDNA
Mycobacterium phage Sbash,,dsDNA
Edwardsiella phage GF-2,,dsDNA
Pseudomonas phage vB_PaeS_PAO1_Ab18,Mesyanzhinovviridae,dsDNA
Paracoccus phage vB_PmaS-R3,,dsDNA
Leptopilina boulardi Toti-like virus,Totiviridae,dsRNA
European bat 2 lyssavirus,Rhabdoviridae,ssRNA(-)
Marburg marburgvirus,Filoviridae,ssRNA(-)
Equid gammaherpesvirus 2,Orthoherpesviridae,dsDNA
Mosquito circovirus,Circoviridae,ssDNA(+/-)
Cucurbit aphid borne yellows virus associated RNA,,RNA
Asystasia mosaic Madagascar virus,Geminiviridae,ssDNA(+/-)
Sclerotinia sclerotiorum mitovirus 1 HC025,Mitoviridae,ssRNA(+)
Spodoptera frugiperda granulovirus,Baculoviridae,dsDNA
Trifolium-associated circular DNA virus 1,,ssDNA
Lesavirus 2,Picornaviridae,ssRNA(+)
African bat icavirus PREDICT-06105,Picornaviridae,ssRNA(+)
Human associated porprismacovirus 2,Smacoviridae,ssDNA
Condylorrhiza vestigialis MNPV,Baculoviridae,dsDNA
Sewage-associated circular DNA virus-16,,ssDNA
Sewage-associated circular DNA virus-20,,ssDNA
Howler monkey associated porprismacovirus 1,Smacoviridae,ssDNA
Sewage-associated circular DNA virus-32,,ssDNA
Sewage-associated circular DNA virus-24,,ssDNA
Sewage-associated circular DNA virus-28,,ssDNA
Sewage-associated circular DNA virus-23,,ssDNA
Lesavirus 1,Picornaviridae,ssRNA(+)
Sewage-associated circular DNA virus-19,,ssDNA
Sewage-associated circular DNA virus-15,,ssDNA
Bromus-associated circular DNA virus 3,Genomoviridae,ssDNA
Meles meles polyomavirus 1,Polyomaviridae,dsDNA
Sewage-associated circular DNA virus-31,,ssDNA
Sewage-associated circular DNA virus-27,,ssDNA
Sewage-associated circular DNA virus-35,,ssDNA
Gairo mammarenavirus,Arenaviridae,ssRNA(+/-)
Bromus-associated circular DNA virus 1,,ssDNA
Tipula oleracea nudivirus,Nudiviridae,dsDNA
Sewage-associated gemycircularvirus-10a,Genomoviridae,ssDNA
Sewage-associated gemycircularvirus 6,Genomoviridae,ssDNA
Dendrolimus punctatus cypovirus 22,Spinareoviridae,dsRNA
Phomopsis vexans RNA virus,Totiviridae,dsRNA
Seal anellovirus 4,Anelloviridae,ssDNA(-)
Magnaporthe oryzae RNA virus,,unknown
Wenzhou mammarenavirus,Arenaviridae,ssRNA(+/-)
Staphylococcus phage phiBU01,,dsDNA
Rodent Torque teno virus 2,Anelloviridae,ssDNA(-)
Chaetoceros tenuissimus DNA virus type-II,,ssDNA
Parapoxvirus red deer/HL953,Poxviridae,dsDNA
Tortoise picornavirus,Picornaviridae,ssRNA(+)
Chaetoceros tenuissimus RNA virus type-II,Marnaviridae,ssRNA(+)
Shigella phage pSs-1,Straboviridae,dsDNA
Bovine polyomavirus 3,Polyomaviridae,dsDNA
Bat circovirus POA/2012/II,Circoviridae,ssDNA(+/-)
Escherichia phage fd,Inoviridae,ssDNA(+)
Faeces associated gemycircularvirus 10,Genomoviridae,ssDNA
Torque teno mini virus ALA22,Anelloviridae,ssDNA(-)
Faeces associated gemycircularvirus 4,Genomoviridae,ssDNA
Jatropha leaf crumple virus,Geminiviridae,ssDNA(+/-)
Sewage-associated circular DNA virus-36,,ssDNA
Thaumetopoea pityocampa iflavirus 1,Iflaviridae,ssRNA(+)
Elderberry latent virus,Tombusviridae,ssRNA(+)
Bromus-associated circular DNA virus 2,,ssDNA
Sewage-associated circular DNA molecule,,DNA
Sewage derived gemycircularvirus 2,Genomoviridae,ssDNA
Sewage-associated circular DNA molecule-3,,DNA
Sewage-associated gemycircularvirus-7a,Genomoviridae,ssDNA
Enterobacteria phage P88,Peduoviridae,dsDNA
Adelie penguin polyomavirus,Polyomaviridae,dsDNA
Betacoronavirus HKU24,Coronaviridae,ssRNA(+)
Cangyuan orthoreovirus,Spinareoviridae,dsRNA
Porcine parvovirus 2,Parvoviridae,ssDNA(+/-)
Cosavirus JMY-2014,Picornaviridae,ssRNA(+)
Slow loris parvovirus 1,Parvoviridae,ssDNA(+/-)
Cercopithecus erythrotis polyomavirus 1,Polyomaviridae,dsDNA
Raccoon dog amdovirus,Parvoviridae,ssDNA(+/-)
Yellow baboon polyomavirus 1,Polyomaviridae,dsDNA
Sauropus yellowing virus,Solemoviridae,ssRNA(+)
Dinocampus coccinellae paralysis virus,Iflaviridae,ssRNA(+)
Bat circovirus POA/2012/VI,Circoviridae,ssDNA(+/-)
Torque teno mini virus ALH8,Anelloviridae,ssDNA(-)
Faeces associated gemycircularvirus 11,Genomoviridae,ssDNA
Faeces associated gemycircularvirus 5,Genomoviridae,ssDNA
Po-Circo-like virus 41,Circoviridae,ssDNA(+/-)
Macrophomina phaseolina tobamo-like virus,Virgaviridae,ssRNA(+)
Cassava Ivorian bacilliform virus,Bromoviridae,ssRNA(+)
Norway rat pegivirus,Flaviviridae,ssRNA(+)
Synechococcus phage S-CBP4,Autographiviridae,dsDNA
Enterococcus phage vB_Efae230P-4,Rountreeviridae,dsDNA
Synechococcus phage S-CBP1,Autographiviridae,dsDNA
Shewanella sp. phage 1/44,,dsDNA
Aeromonas phage pAh6-C,Chaseviridae,dsDNA
Equid gammaherpesvirus 5,Orthoherpesviridae,dsDNA
Gorilla associated porprismacovirus 1,Smacoviridae,ssDNA
Maprik virus,Peribunyaviridae,ssRNA(-)
Sewage-associated circular DNA virus-17,,ssDNA
Sewage-associated circular DNA virus-21,,ssDNA
Sewage-associated circular DNA virus-29,,ssDNA
Sewage-associated circular DNA virus-33,,ssDNA
Sewage-associated circular DNA virus-25,,ssDNA
Bromus-associated circular DNA virus 4,,ssDNA
Sewage-associated gemycircularvirus 9,Genomoviridae,ssDNA
Human smacovirus 1,Smacoviridae,ssDNA
Sewage-associated circular DNA virus-37,,ssDNA
Pelargonium ringspot virus,Tombusviridae,ssRNA(+)
Sewage-associated gemycircularvirus 2,Genomoviridae,ssDNA
Botrytis cinerea RNA virus 1,,dsRNA
Salmonella phage LSPA1,,dsDNA
Eimeria tenella RNA virus 1,Totiviridae,dsRNA
Mastomys natalensis polyomavirus 1,Polyomaviridae,dsDNA
Psittacine adenovirus 3,Adenoviridae,dsDNA
Shigella phage pSf-2,Drexlerviridae,dsDNA
Tadarida brasiliensis polyomavirus 1,Polyomaviridae,dsDNA
Dromedary stool-associated circular ssDNA virus,Circoviridae,ssDNA(+/-)
Vibrio phage phi-A318,Autographiviridae,dsDNA
Garlic virus B,Alphaflexiviridae,ssRNA(+)
Delphinus delphis polyomavirus 1,Polyomaviridae,dsDNA
Switchgrass mosaic-associated virus 1,Geminiviridae,ssDNA(+/-)
Asparagus virus 1,Potyviridae,ssRNA(+)
Black sea bass polyomavirus 1,Polyomaviridae,dsDNA
Black robin associated gemykibivirus 1,Genomoviridae,ssDNA
Faeces associated gemycircularvirus 12,Genomoviridae,ssDNA
Faeces associated gemycircularvirus 2,Genomoviridae,ssDNA
Faeces associated gemycircularvirus 6,Genomoviridae,ssDNA
Bacillariodnavirus LDMD-2013,Bacilladnaviridae,ssDNA
Influenza A virus (A/Shanghai/02/2013(H7N9)),Orthomyxoviridae,ssRNA(-)
Po-Circo-like virus 51,Circoviridae,ssDNA(+/-)
Simian adenovirus DM-2014,Adenoviridae,dsDNA
Pandoravirus inopinatum,,dsDNA
Yacon necrotic mottle virus,Caulimoviridae,dsDNA-RT
Lemur associated porprismacovirus 1,Smacoviridae,ssDNA
Sewage-associated gemycircularvirus 1,Genomoviridae,ssDNA
Pseudoplusia includens SNPV IE,Baculoviridae,dsDNA
Sewage-associated circular DNA virus-30,,ssDNA
Sewage-associated circular DNA virus-18,,ssDNA
Sewage-associated circular DNA virus-22,,ssDNA
Sewage-associated circular DNA virus-34,,ssDNA
Sewage-associated circular DNA virus-26,,ssDNA
Sesavirus CSL10538,Parvoviridae,ssDNA(+/-)
Oxalis yellow vein virus,Geminiviridae,ssDNA(+/-)
Rubus yellow net virus,Caulimoviridae,dsDNA-RT
Rhynchobatus djiddensis polyomavirus 1,Polyomaviridae,dsDNA
Alternaria brassicicola betaendornavirus 1,Endornaviridae,dsRNA
Sewage-associated gemycircularvirus 5,Genomoviridae,ssDNA
Sewage derived gemycircularvirus 1,Genomoviridae,ssDNA
Sewage associated gemycircularvirus 3,Genomoviridae,ssDNA
Sewage-associated gemycircularvirus 4,Genomoviridae,ssDNA
Microviridae IME-16,Microviridae,ssDNA(+)
Tadarida brasiliensis polyomavirus 2,Polyomaviridae,dsDNA
Persimmon virus B,Closteroviridae,ssRNA(+)
Catharanthus yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Agrotis segetum nucleopolyhedrovirus B,Baculoviridae,dsDNA
Escherichia phage Av-05,,dsDNA
Leopards Hill virus,Nairoviridae,ssRNA(-)
Chlorocebus pygerythrus polyomavirus 2,Polyomaviridae,dsDNA
Fisavirus 1,,ssRNA
Chlorocebus pygerythrus polyomavirus 3,Polyomaviridae,dsDNA
Wellfleet Bay virus,Orthomyxoviridae,ssRNA(-)
Bovine polyomavirus 2,Polyomaviridae,dsDNA
Laodelphax striatellus picorna-like virus 2,Iflaviridae,ssRNA(+)
Faeces associated gemycircularvirus 7,Genomoviridae,ssDNA
Blackbird associated gemykibivirus 1,Genomoviridae,ssDNA
Blackbird associated gemycircularvirus 1,Genomoviridae,ssDNA
Faeces associated gemycircularvirus 3,Genomoviridae,ssDNA
Po-Circo-like virus 21,Circoviridae,ssDNA(+/-)
Sweet potato leaf curl Sao Paulo virus,Geminiviridae,ssDNA(+/-)
hunnivirus A4,Picornaviridae,ssRNA(+)
Tomato yellow leaf curl Axarquia virus,Geminiviridae,ssDNA(+/-)
Chickpea yellow dwarf virus,Geminiviridae,ssDNA(+/-)
Enterococcus phage EfaCPT1,,dsDNA
Shewanella sp. phage 1/40,,dsDNA
Salmonella phage 9NA,,dsDNA
Shewanella sp. phage 1/41,,dsDNA
Idiomarinaceae phage 1N2-2,,dsDNA
Acinetobacter phage vB_AbaP_Acibel007,Autographiviridae,dsDNA
Strawberry polerovirus 1,Solemoviridae,ssRNA(+)
Lelliottia phage phD2B,Autographiviridae,dsDNA
Enterococcus phage EFC-1,,dsDNA
Escherichia phage J8-65,Autographiviridae,dsDNA
Eggplant mottled dwarf nucleorhabdovirus,Rhabdoviridae,ssRNA(-)
Kimberley virus,Rhabdoviridae,ssRNA(-)
Rhizobium phage vB_RleM_PPF1,,dsDNA
Caulobacter phage Cr30,,dsDNA
Arboretum almendravirus,Rhabdoviridae,ssRNA(-)
Lactobacillus phage Ld3,,dsDNA
Tuhoko virus 1,Paramyxoviridae,ssRNA(-)
Salem virus,Paramyxoviridae,ssRNA(-)
Malpais Spring vesiculovirus,Rhabdoviridae,ssRNA(-)
Almpiwar virus,Rhabdoviridae,ssRNA(-)
Spodoptera frugiperda rhabdovirus,Rhabdoviridae,ssRNA(-)
Stygiolobus rod-shaped virus,Rudiviridae,dsDNA
Shimoni bat lyssavirus,Rhabdoviridae,ssRNA(-)
Tailam virus,Paramyxoviridae,ssRNA(-)
Mamastrovirus 3,Astroviridae,ssRNA(+)
Avian avulavirus 3,Paramyxoviridae,ssRNA(-)
Avian avulavirus 12,Paramyxoviridae,ssRNA(-)
Berrimah virus,Rhabdoviridae,ssRNA(-)
Bat Hp-betacoronavirus/Zhejiang2013,Coronaviridae,ssRNA(+)
Long Island tick rhabdovirus,Rhabdoviridae,ssRNA(-)
Fikirini rhabdovirus,Rhabdoviridae,ssRNA(-)
Sea otter polyomavirus 1,Polyomaviridae,dsDNA
Yam virus X,Alphaflexiviridae,ssRNA(+)
Vanilla distortion mosaic virus,Potyviridae,ssRNA(+)
Circoviridae SFBeef,Circoviridae,ssDNA(+/-)
Listeria phage WIL-1,Herelleviridae,dsDNA
Yersinia phage vB_YenP_AP5,Autographiviridae,dsDNA
Staphylococcus phage phiSa119,,dsDNA
Escherichia phage 121Q,,dsDNA
Mycobacterium phage RedRock,,dsDNA
Enterobacteria phage GEC-3S,Straboviridae,dsDNA
Staphylococcus phage P108,Herelleviridae,dsDNA
Bacillus phage CP-51,Herelleviridae,dsDNA
Puerto Almendras virus,Rhabdoviridae,ssRNA(-)
Perinet vesiculovirus,Rhabdoviridae,ssRNA(-)
Avian avulavirus 9,Paramyxoviridae,ssRNA(-)
Niakha virus,Rhabdoviridae,ssRNA(-)
Malakal virus,Rhabdoviridae,ssRNA(-)
Khujand lyssavirus,Rhabdoviridae,ssRNA(-)
Mojiang virus,Paramyxoviridae,ssRNA(-)
Tuhoko virus 2,Paramyxoviridae,ssRNA(-)
Pan troglodytes verus polyomavirus 1a,Polyomaviridae,dsDNA
Avian avulavirus 7,Paramyxoviridae,ssRNA(-)
Goutanap virus,,ssRNA(+)
Rabbit astrovirus TN/2208/2010,Astroviridae,ssRNA(+)
Xiburema virus,Rhabdoviridae,ssRNA(-)
Erinnyis ello granulovirus,Baculoviridae,dsDNA
Salmon aquaparamyxovirus,Paramyxoviridae,ssRNA(-)
Pike fry sprivivirus,Rhabdoviridae,ssRNA(-)
Tomato mottle wrinkle virus,Geminiviridae,ssDNA(+/-)
Farmington virus,Rhabdoviridae,ssRNA(-)
Silurus glanis circovirus,Circoviridae,ssDNA(+/-)
Cripavirus NB-1/2011/HUN,Dicistroviridae,ssRNA(+)
Salivirus FHB,Picornaviridae,ssRNA(+)
Lammi virus,Flaviviridae,ssRNA(+)
Caribou associated gemykrogvirus 1,Genomoviridae,ssDNA
Bitter gourd yellow vein virus,Geminiviridae,ssDNA(+/-)
Apodemus sylvaticus papillomavirus 1,Papillomaviridae,dsDNA
Faba bean necrotic yellows C1 alphasatellite,Alphasatellitidae,ssDNA
Escherichia phage vB_EcoM_PhAPEC2,Straboviridae,dsDNA
Porcine associated porprismacovirus 9,Smacoviridae,ssDNA
Bacillus phage Riley,Herelleviridae,dsDNA
Acinetobacter phage YMC-13-01-C62,,dsDNA
Porcine associated porprismacovirus 5,Smacoviridae,ssDNA
Cyclovirus ZM36a,Circoviridae,ssDNA(+/-)
Lilac leaf chlorosis virus,Bromoviridae,ssRNA(+)
Synechococcus phage S-CBP3,Autographiviridae,dsDNA
Mycobacterium phage Soto,,dsDNA
Mycobacterium phage Taj,,dsDNA
Shewanella sp. phage 3/49,,dsDNA
Rhizobium phage vB_RleM_P10VF,Pootjesviridae,dsDNA
Escherichia phage vB_EcoM-ep3,,dsDNA
Ruegeria phage DSS3-P1,Casjensviridae,dsDNA
Escherichia phage ECML-117,,dsDNA
Shigella phage POCJ13,,dsDNA
Shigella phage Shf125875,Straboviridae,dsDNA
Klebsiella phage NTUH-K2044-K1-1,Autographiviridae,dsDNA
Lactobacillus phage Ld17,,dsDNA
Bacillus phage Waukesha92,,dsDNA
Sunguru virus,Rhabdoviridae,ssRNA(-)
Oak-Vale virus,Rhabdoviridae,ssRNA(-)
Scophthalmus maximus rhabdovirus,Rhabdoviridae,ssRNA(-)
Lyssavirus Ozernoe,Rhabdoviridae,ssRNA(-)
Porcine respirovirus 1,Paramyxoviridae,ssRNA(-)
Achimota virus 1,Paramyxoviridae,ssRNA(-)
Sclerotinia sclerotiorum negative-stranded RNA virus 1,Mymonaviridae,ssRNA(-)
Tuhoko virus 3,Paramyxoviridae,ssRNA(-)
Moussa virus,Rhabdoviridae,ssRNA(-)
Pan troglodytes polyomavirus 3,Polyomaviridae,dsDNA
Yug Bogdanovac vesiculovirus,Rhabdoviridae,ssRNA(-)
Ustilaginoidea virens RNA virus L,Totiviridae,dsRNA
Tench rhabdovirus,Rhabdoviridae,ssRNA(-)
Hibiscus latent Fort Pierce virus,Virgaviridae,ssRNA(+)
Sunshine Coast virus,Sunviridae,ssRNA(-)
Kolente virus,Rhabdoviridae,ssRNA(-)
Maraba virus,Rhabdoviridae,ssRNA(-)
Bat Paramyxovirus Eid_hel/GH-M74a/GHA/2009,Paramyxoviridae,ssRNA(-)
Swan circovirus,Circoviridae,ssDNA(+/-)
Synedrella leaf curl alphasatellite,Alphasatellitidae,ssDNA
Mikumi yellow baboon virus 1,Arteriviridae,ssRNA(+)
Fako virus,Spinareoviridae,dsRNA
Synechococcus phage S-CBP2,Autographiviridae,dsDNA
San Miguel sea lion virus 8,Caliciviridae,ssRNA(+)
Escherichia phage ECML-134,Straboviridae,dsDNA
Shewanella sp. phage 1/4,,dsDNA
Carrot Ch virus 1,Betaflexiviridae,ssRNA(+)
Carrot Ch virus 2,Betaflexiviridae,ssRNA(+)
Salmonella virus Chi,Casjensviridae,dsDNA
Acinetobacter phage vB_AbaM_Acibel004,,dsDNA
Mesorhizobium phage vB_MloP_Lo5R7ANS,Autographiviridae,dsDNA
Escherichia phage ECML-4,Ackermannviridae,dsDNA
Staphylococcus phage MCE-2014,Herelleviridae,dsDNA
Melbournevirus,Marseilleviridae,dsDNA
Lactobacillus phage Ld25A,,dsDNA
Ralstonia phage RS603,Inoviridae,ssDNA(+)
Dolphin rhabdovirus,Rhabdoviridae,ssRNA(-)
Dickeya phage RC-2014,Ackermannviridae,dsDNA
Staphylococcus phage Team1,Herelleviridae,dsDNA
Asian prunus virus 1,Betaflexiviridae,ssRNA(+)
Coastal Plains virus,Rhabdoviridae,ssRNA(-)
Avian avulavirus 11,Paramyxoviridae,ssRNA(-)
Achimota virus 2,Paramyxoviridae,ssRNA(-)
Culex tritaeniorhynchus rhabdovirus,Rhabdoviridae,ssRNA(-)
Avian avulavirus 5,Paramyxoviridae,ssRNA(-)
Gorilla gorilla gorilla polyomavirus 1,Polyomaviridae,dsDNA
West Caucasian bat lyssavirus,Rhabdoviridae,ssRNA(-)
Cedar virus,Paramyxoviridae,ssRNA(-)
Grass carp virus,Rhabdoviridae,ssRNA(-)
Ustilaginoidea virens RNA virus M,Totiviridae,dsRNA
Vesicular stomatitis Alagoas virus,Rhabdoviridae,ssRNA(-)
Sosuga virus,Paramyxoviridae,ssRNA(-)
Carrot thin leaf virus,Potyviridae,ssRNA(+)
Bokeloh bat lyssavirus,Rhabdoviridae,ssRNA(-)
Mammalian orthoreovirus 3,Spinareoviridae,dsRNA
Botryosphaeria dothidea victorivirus 1,Totiviridae,dsRNA
Gyrovirus GyV7-SF,Anelloviridae,ssDNA(-)
Ralstonia phage RSY1,Peduoviridae,dsDNA
Halovirus VNH-1,,unknown
Southwest baboon virus 1,Arteriviridae,ssRNA(+)
Bufavirus-3,Parvoviridae,ssDNA(+/-)
Seal anellovirus 2,Anelloviridae,ssDNA(-)
Rose leaf rosette-associated virus,Closteroviridae,ssRNA(+)
Escherichia phage vB_EcoP_PhAPEC7,Schitoviridae,dsDNA
Ethiopian tobacco bushy top virus satellite RNA,,RNA
Listeria phage LMTA-148,Herelleviridae,dsDNA
Escherichia phage vB_EcoS_AKS96,Drexlerviridae,dsDNA
Chicken picornavirus 2,Picornaviridae,ssRNA(+)
Porcine associated porprismacovirus 8,Smacoviridae,ssDNA
gallivirus A1,Picornaviridae,ssRNA(+)
Ball python nidovirus 1,Tobaniviridae,ssRNA(+)
Penicillium roqueforti ssRNA mycovirus 1,Fusariviridae,ssRNA
HCBI9.212 virus,Genomoviridae,ssDNA
Alternaria longipes dsRNA virus 1,,dsRNA
Human circovirus VS6600022,Circoviridae,ssDNA(+/-)
Lizard adenovirus 2,Adenoviridae,dsDNA
Lymantria dispar iflavirus 1,Iflaviridae,ssRNA(+)
Mirabilis leaf curl virus,Geminiviridae,ssDNA(+/-)
Duck adenovirus 2,Adenoviridae,dsDNA
McMurdo Ice Shelf pond-associated circular DNA virus-2,,ssDNA
McMurdo Ice Shelf pond-associated circular DNA virus-6,,ssDNA
Vesicular stomatitis New Jersey virus,Rhabdoviridae,ssRNA(-)
Faba bean necrotic yellows C9 alphasatellite,Alphasatellitidae,ssDNA
Leuconostoc phage LN03,,dsDNA
Tent-making bat hepatitis B virus,Hepadnaviridae,dsDNA-RT
Alcelaphine gammaherpesvirus 2,Orthoherpesviridae,dsDNA
Staphylococcus phage DW2,,dsDNA
Listeria phage LP-083-2,Herelleviridae,dsDNA
Mycobacterium phage OkiRoe,,dsDNA
Listeria phage LMSP-25,Herelleviridae,dsDNA
Sida yellow vein alphasatellite,Alphasatellitidae,ssDNA
Cronobacter phage CR8,,dsDNA
Anabaena phage A-4L,,dsDNA
Listeria phage List-36,Herelleviridae,dsDNA
Pagoda yellow mosaic associated virus,Caulimoviridae,dsDNA-RT
Lactococcus phage P162,,dsDNA
Umatilla virus,Sedoreoviridae,dsRNA
Chicken picornavirus 3,Picornaviridae,ssRNA(+)
Chicken picornavirus 1,Picornaviridae,ssRNA(+)
MSSI2.225 virus,Genomoviridae,ssDNA
Feline cyclovirus,Circoviridae,ssDNA(+/-)
Rose leaf curl betasatellite,Tolecusatellitidae,ssDNA
Soybean cyst nematode socyvirus,Nyamiviridae,ssRNA(-)
Peridroma alphabaculovirus,Baculoviridae,dsDNA
Mirabilis leaf curl India virus associated betasatellite,Tolecusatellitidae,ssDNA
Asterionellopsis glacialis RNA virus,Marnaviridae,ssRNA(+)
McMurdo Ice Shelf pond-associated circular DNA virus-3,,ssDNA
McMurdo Ice Shelf pond-associated circular DNA virus-7,,ssDNA
Human astrovirus BF34,Astroviridae,ssRNA(+)
Pitaya virus X,Alphaflexiviridae,ssRNA(+)
Yerba mate alphaendornavirus,Endornaviridae,dsRNA
Armadillidium vulgare iridescent virus,Iridoviridae,dsDNA
Horseshoe bat hepatitis B virus,Hepadnaviridae,dsDNA-RT
Escherichia phage PE3-1,Autographiviridae,dsDNA
Listeria phage LP-101,,dsDNA
Penguinpox virus,Poxviridae,dsDNA
Leuconostoc phage phiLN6B,,dsDNA
Pseudomonas phage vB_PaeS_SCH_Ab26,,dsDNA
Dinoroseobacter phage DFL12phi1,Schitoviridae,dsDNA
Vibrio phage X29,,dsDNA
Pseudomonas phage JD024,,dsDNA
Mycobacterium phage Manad,,dsDNA
Streptococcus phage IC1,,dsDNA
Bovine astrovirus,Astroviridae,ssRNA(+)
